Date,Close,Volume,Open,High,Low
1/23/2017,2265.2,--,2267.78,2271.78,2257.02
1/24/2017,2280.07,--,2267.88,2284.63,2266.68
1/25/2017,2298.37,--,2288.88,2299.55,2288.88
1/26/2017,2296.68,--,2298.63,2300.99,2294.08
1/27/2017,2294.69,--,2299.02,2299.02,2291.62
1/30/2017,2280.9,--,2286.01,2286.01,2268.04
1/31/2017,2278.87,--,2274.02,2279.09,2267.21
2/1/2017,2279.55,--,2285.59,2289.14,2272.44
2/2/2017,2280.85,--,2276.69,2283.97,2271.65
2/3/2017,2297.42,--,2288.54,2298.31,2287.88
2/6/2017,2292.56,--,2294.28,2296.18,2288.57
2/7/2017,2293.08,--,2295.87,2299.4,2290.16
2/8/2017,2294.67,--,2289.55,2295.91,2285.38
2/9/2017,2307.87,--,2296.7,2311.08,2296.61
2/10/2017,2316.1,--,2312.27,2319.23,2311.1
2/13/2017,2328.25,--,2321.72,2331.58,2321.42
2/14/2017,2337.58,--,2326.12,2337.58,2322.17
2/15/2017,2349.25,--,2335.58,2351.3,2334.81
2/16/2017,2347.22,--,2349.64,2351.31,2338.87
2/17/2017,2351.16,--,2343.01,2351.16,2339.58
2/21/2017,2365.38,--,2354.91,2366.71,2354.91
2/22/2017,2362.82,--,2361.11,2365.13,2358.34
2/23/2017,2363.81,--,2367.5,2368.26,2355.09
2/24/2017,2367.34,--,2355.73,2367.34,2352.87
2/27/2017,2369.75,--,2365.23,2371.54,2361.87
2/28/2017,2363.64,--,2366.08,2367.79,2358.96
3/1/2017,2395.96,--,2380.13,2400.98,2380.13
3/2/2017,2381.92,--,2394.75,2394.75,2380.17
3/3/2017,2383.12,--,2380.92,2383.89,2375.39
3/6/2017,2375.31,--,2375.23,2378.8,2367.98
3/7/2017,2368.39,--,2370.74,2375.12,2365.51
3/8/2017,2362.98,--,2369.81,2373.09,2361.01
3/9/2017,2364.87,--,2363.49,2369.08,2354.54
3/10/2017,2372.6,--,2372.52,2376.86,2363.04
3/13/2017,2373.47,--,2371.56,2374.42,2368.52
3/14/2017,2365.45,--,2368.55,2368.55,2358.18
3/15/2017,2385.26,--,2370.34,2390.01,2368.94
3/16/2017,2381.38,--,2387.71,2388.1,2377.18
3/17/2017,2378.25,--,2383.71,2385.71,2377.64
3/20/2017,2373.47,--,2378.24,2379.55,2369.66
3/21/2017,2344.02,--,2379.32,2381.93,2341.9
3/22/2017,2348.45,--,2343,2351.81,2336.45
3/23/2017,2345.96,--,2345.97,2358.92,2342.13
3/24/2017,2343.98,--,2350.42,2356.22,2335.74
3/27/2017,2341.59,--,2329.11,2344.9,2322.25
3/28/2017,2358.57,--,2339.79,2363.78,2337.63
3/29/2017,2361.13,--,2356.54,2363.36,2352.94
3/30/2017,2368.06,--,2361.31,2370.42,2358.58
3/31/2017,2362.72,--,2364.82,2370.35,2362.6
4/3/2017,2358.84,--,2362.34,2365.87,2344.73
4/4/2017,2360.16,--,2354.76,2360.53,2350.72
4/5/2017,2352.95,--,2366.59,2378.36,2350.52
4/6/2017,2357.49,--,2353.79,2364.16,2348.9
4/7/2017,2355.54,--,2356.59,2363.76,2350.74
4/10/2017,2357.16,--,2357.16,2366.37,2351.5
4/11/2017,2353.78,--,2353.92,2355.22,2337.25
4/12/2017,2344.93,--,2352.15,2352.72,2341.18
4/13/2017,2328.95,--,2341.98,2348.26,2328.95
4/17/2017,2349.01,--,2332.62,2349.14,2332.51
4/18/2017,2342.19,--,2342.53,2348.35,2334.54
4/19/2017,2338.17,--,2346.79,2352.63,2335.05
4/20/2017,2355.84,--,2342.69,2361.37,2340.91
4/21/2017,2348.69,--,2354.74,2356.18,2344.51
