Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2009-05-01T14:00:00Z,TMV,3230.3966971,2,Market,Filled,6460.7933942,Warning: No quote information available at 05/01/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-05T15:00:00Z,TMV,3125.0435368,-2,Market,Filled,-6250.0870736,Warning: No quote information available at 05/05/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-05-05T16:00:00Z,TMV,3190.5099039,2,Market,Filled,6381.0198078,Warning: No quote information available at 05/05/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-05-12T17:00:00Z,TMV,3311.9044919,-2,Market,Filled,-6623.8089838,Warning: No quote information available at 05/12/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-05-18T14:00:00Z,TMV,3183.1395182,2,Market,Filled,6366.2790364,Warning: No quote information available at 05/18/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-21T14:00:00Z,TMV,3206.5513316,-2,Market,Filled,-6413.1026632,Warning: No quote information available at 05/21/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-21T16:00:00Z,TMV,3366.9656086,2,Market,Filled,6733.9312172,Warning: No quote information available at 05/21/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-05-29T16:00:00Z,TMV,3685.6264021,-2,Market,Filled,-7371.2528042,Warning: No quote information available at 05/29/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-06-01T16:00:00Z,TMV,3822.6288657,2,Market,Filled,7645.2577314,Warning: No quote information available at 06/01/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-06-03T14:00:00Z,TMV,3706.870455,-1,Market,Filled,-3706.870455,Warning: No quote information available at 06/03/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-04T14:00:00Z,TMV,3781.4414162,1,Market,Filled,3781.4414162,Warning: No quote information available at 06/04/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-12T14:00:00Z,TMV,4012.0911334,-2,Market,Filled,-8024.1822668,Warning: No quote information available at 06/12/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-18T14:00:00Z,TMV,3791.8466666,1,Market,Filled,3791.8466666,Warning: No quote information available at 06/18/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-18T17:00:00Z,TMV,3887.2281286,1,Market,Filled,3887.2281286,Warning: No quote information available at 06/18/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-06-19T20:00:00Z,TMV,3623.6284518,-1,Market On Open,Filled,-3623.6284518, 
2009-06-22T14:00:00Z,TMV,3617.9922745,-1,Market,Filled,-3617.9922745,Warning: No quote information available at 06/22/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-24T20:00:00Z,TMV,3516.9746352,1,Market On Open,Filled,3516.9746352, 
2009-06-25T18:00:00Z,TMV,3377.8044111,-1,Market,Filled,-3377.8044111,Warning: No quote information available at 06/25/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-06-30T14:00:00Z,TMV,3425.06159,2,Market,Filled,6850.12318,Warning: No quote information available at 06/30/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-30T15:00:00Z,TMV,3337.4840658,-1,Market,Filled,-3337.4840658,Warning: No quote information available at 06/30/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-06-30T17:00:00Z,TMV,3277.653876,-1,Market,Filled,-3277.653876,Warning: No quote information available at 06/30/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-06-30T20:00:00Z,TMV,3438.068153,1,Market On Open,Filled,3438.068153, 
2009-07-01T14:00:00Z,TMV,3438.9352572,1,Market,Filled,3438.9352572,Warning: No quote information available at 07/01/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-07-07T17:00:00Z,TMV,3334.4492011,-2,Market,Filled,-6668.8984022,Warning: No quote information available at 07/07/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-07-09T18:00:00Z,TMV,3267.2486256,1,Market,Filled,3267.2486256,Warning: No quote information available at 07/09/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-07-09T19:00:00Z,TMV,3308.4360751,1,Market,Filled,3308.4360751,Warning: No quote information available at 07/09/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-07-09T20:00:00Z,TMV,3186.1743829,-2,Market On Open,Filled,-6372.3487658, 
2009-07-13T19:00:00Z,TMV,3162.3290174,2,Market,Filled,6324.6580348,Warning: No quote information available at 07/13/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-07-21T15:00:00Z,TMV,3442.403674,-2,Market,Filled,-6884.807348,Warning: No quote information available at 07/21/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-07-23T14:00:00Z,TMV,3510.0378016,2,Market,Filled,7020.0756032,Warning: No quote information available at 07/23/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-07-28T17:00:00Z,TMV,3555.9943242,-2,Market,Filled,-7111.9886484,Warning: No quote information available at 07/28/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-07-28T18:00:00Z,TMV,3723.7789869,2,Market,Filled,7447.5579738,Warning: No quote information available at 07/28/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-07-29T14:00:00Z,TMV,3522.1772604,-2,Market,Filled,-7044.3545208,Warning: No quote information available at 07/29/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-04T15:00:00Z,TMV,3403.383985,1,Market,Filled,3403.383985,Warning: No quote information available at 08/04/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-04T16:00:00Z,TMV,3435.0332883,1,Market,Filled,3435.0332883,Warning: No quote information available at 08/04/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-08-11T14:00:00Z,TMV,3392.5451825,-2,Market,Filled,-6785.090365,Warning: No quote information available at 08/11/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-13T15:00:00Z,TMV,3460.6128622,1,Market,Filled,3460.6128622,Warning: No quote information available at 08/13/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-13T18:00:00Z,TMV,3376.5037548,-1,Market,Filled,-3376.5037548,Warning: No quote information available at 08/13/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-08-21T15:00:00Z,TMV,3146.2875897,2,Market,Filled,6292.5751794,Warning: No quote information available at 08/21/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-25T18:00:00Z,TMV,2998.0127715,-2,Market,Filled,-5996.025543,Warning: No quote information available at 08/25/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-08-28T14:00:00Z,TMV,3022.2916891,2,Market,Filled,6044.5833782,Warning: No quote information available at 08/28/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-28T17:00:00Z,TMV,2924.7424666,-2,Market,Filled,-5849.4849332,Warning: No quote information available at 08/28/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-08-31T14:00:00Z,TMV,2936.4483733,2,Market,Filled,5872.8967466,Warning: No quote information available at 08/31/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-31T18:00:00Z,TMV,2900.8971011,-2,Market,Filled,-5801.7942022,Warning: No quote information available at 08/31/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-09-01T14:00:00Z,TMV,2957.6924262,2,Market,Filled,5915.3848524,Warning: No quote information available at 09/01/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-09-02T16:00:00Z,TMV,2861.44386,-2,Market,Filled,-5722.88772,Warning: No quote information available at 09/02/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-09-04T14:00:00Z,TMV,2875.3175272,3,Market,Filled,8625.9525816,Warning: No quote information available at 09/04/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-09-10T18:00:00Z,TMV,2904.3655179,-3,Market,Filled,-8713.0965537,Warning: No quote information available at 09/10/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-09-15T14:00:00Z,TMV,2980.6706875,2,Market,Filled,5961.341375,Warning: No quote information available at 09/15/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-09-17T15:00:00Z,TMV,2883.5550171,-2,Market,Filled,-5767.1100342,Warning: No quote information available at 09/17/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-09-18T19:00:00Z,TMV,2916.5049767,2,Market,Filled,5833.0099534,Warning: No quote information available at 09/18/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-09-21T15:00:00Z,TMV,2846.2695365,-2,Market,Filled,-5692.539073,Warning: No quote information available at 09/21/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-09-21T18:00:00Z,TMV,2949.4549363,2,Market,Filled,5898.9098726,Warning: No quote information available at 09/21/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-09-22T18:00:00Z,TMV,2857.108339,-1,Market,Filled,-2857.108339,Warning: No quote information available at 09/22/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-09-23T15:00:00Z,TMV,2844.5353281,-1,Market,Filled,-2844.5353281,Warning: No quote information available at 09/23/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-09-23T18:00:00Z,TMV,2915.6378725,2,Market,Filled,5831.275745,Warning: No quote information available at 09/23/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-09-23T19:00:00Z,TMV,2850.6050575,-1,Market,Filled,-2850.6050575,Warning: No quote information available at 09/23/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-09-24T14:00:00Z,TMV,2867.9471415,1,Market,Filled,2867.9471415,Warning: No quote information available at 09/24/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-09-24T15:00:00Z,TMV,2822.424171,-2,Market,Filled,-5644.848342,Warning: No quote information available at 09/24/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-10-05T19:00:00Z,TMV,2599.1448395,3,Market,Filled,7797.4345185,Warning: No quote information available at 10/05/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-10-08T14:00:00Z,TMV,2517.2034926,-3,Market,Filled,-7551.6104778,Warning: No quote information available at 10/08/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-10-08T18:00:00Z,TMV,2638.1645285,2,Market,Filled,5276.329057,Warning: No quote information available at 10/08/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-10-19T15:00:00Z,TMV,2826.3261399,-2,Market,Filled,-5652.6522798,Warning: No quote information available at 10/19/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-10-21T14:00:00Z,TMV,2822.424171,1,Market,Filled,2822.424171,Warning: No quote information available at 10/21/2009 10:00:00 America/New_York, order filled using TradeBar data 
