Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2010-03-01T15:00:00Z,UMDD,2.378871863775,3975,Market,Filled,9456.0156585056,Warning: No quote information available at 03/01/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-03-19T15:00:00Z,UMDD,2.80341432195,-2731,Market,Filled,-7656.1245132454,Warning: No quote information available at 03/19/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-03-19T20:00:00Z,UMDD,2.709208919175,-1244,Market On Open,Filled,-3370.2558954537, 
2010-03-22T15:00:00Z,UMDD,2.829870957375,1219,Market,Filled,3449.6126970401,Warning: No quote information available at 03/22/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-03-22T19:00:00Z,UMDD,2.84594274525,2621,Market,Filled,7459.2159353002,Warning: No quote information available at 03/22/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-03-25T20:00:00Z,UMDD,2.82481937175,-3840,Market On Open,Filled,-10847.30638752, 
2010-03-29T14:00:00Z,UMDD,2.839904199,2607,Market,Filled,7403.630246793,Warning: No quote information available at 03/29/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-03-29T20:00:00Z,UMDD,2.88713701875,1192,Market On Open,Filled,3441.46732635, 
2010-03-31T20:00:00Z,UMDD,2.88169658925,-1207,Market On Open,Filled,-3478.2077832248, 
2010-04-01T14:00:00Z,UMDD,2.9215106415,1173,Market,Filled,3426.9319824795,Warning: No quote information available at 04/01/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-04-08T14:00:00Z,UMDD,2.95093841925,-2578,Market,Filled,-7607.5192448265,Warning: No quote information available at 04/08/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-04-09T16:00:00Z,UMDD,3.052575534,2481,Market,Filled,7573.439899854,Warning: No quote information available at 04/09/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-04-16T16:00:00Z,UMDD,3.13146176175,-2513,Market,Filled,-7869.3634072778,Warning: No quote information available at 04/16/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-04-19T16:00:00Z,UMDD,3.1045069065,-1155,Market,Filled,-3585.7054770075,Warning: No quote information available at 04/19/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-04-20T14:00:00Z,UMDD,3.2004562995,3564,Market,Filled,11406.426251418,Warning: No quote information available at 04/20/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-04-27T16:00:00Z,UMDD,3.312726981,-2442,Market,Filled,-8089.679287602,Warning: No quote information available at 04/27/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-04-27T17:00:00Z,UMDD,3.282062742,-1122,Market,Filled,-3682.474396524,Warning: No quote information available at 04/27/2010 13:00:00 America/New_York, order filled using TradeBar data 
2010-04-29T15:00:00Z,UMDD,3.3161890725,2419,Market,Filled,8021.8613663775,Warning: No quote information available at 04/29/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-04-29T18:00:00Z,UMDD,3.362185431,1098,Market,Filled,3691.679603238,Warning: No quote information available at 04/29/2010 14:00:00 America/New_York, order filled using TradeBar data 
2010-04-30T17:00:00Z,UMDD,3.2518930875,-1108,Market,Filled,-3603.09754095,Warning: No quote information available at 04/30/2010 13:00:00 America/New_York, order filled using TradeBar data 
2010-04-30T20:00:00Z,UMDD,3.21653029575,-2409,Market On Open,Filled,-7748.6214824618, 
2010-05-03T17:00:00Z,UMDD,3.30308258325,3434,Market,Filled,11342.78559088,Warning: No quote information available at 05/03/2010 13:00:00 America/New_York, order filled using TradeBar data 
2010-05-04T14:00:00Z,UMDD,3.133687392,-3434,Market,Filled,-10761.082504128,Warning: No quote information available at 05/04/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-05-10T14:00:00Z,UMDD,2.76497464725,2663,Market,Filled,7363.1274856268,Warning: No quote information available at 05/10/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-05-11T15:00:00Z,UMDD,2.7929186715,1214,Market,Filled,3390.603267201,Warning: No quote information available at 05/11/2010 11:00:00 America/New_York, order filled using TradeBar data 
