Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2017-12-01T15:00:00Z,PILL,26.13421875,362,Market,Filled,9460.5871875,Warning: No quote information available at 12/01/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-12-06T18:00:00Z,PILL,24.4475,-362,Market,Filled,-8849.995,Warning: No quote information available at 12/06/2017 13:00:00 America/New_York, order filled using TradeBar data 
2017-12-08T15:00:00Z,PILL,25.310703125,240,Market,Filled,6074.56875,Warning: No quote information available at 12/08/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-12-11T15:00:00Z,PILL,27.543125,101,Market,Filled,2781.855625,Warning: No quote information available at 12/11/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-12-14T20:00:00Z,PILL,26.7890625,-234,Market,Filled,-6268.640625,Warning: No quote information available at 12/14/2017 15:00:00 America/New_York, order filled using TradeBar data 
2017-12-18T15:00:00Z,PILL,27.910234375,225,Market,Filled,6279.802734375,Warning: No quote information available at 12/18/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-12-20T18:00:00Z,PILL,26.163401848,-332,Market,Filled,-8686.249413536,Warning: No quote information available at 12/20/2017 13:00:00 America/New_York, order filled using TradeBar data 
2017-12-21T17:00:00Z,PILL,27.39415368,318,Market,Filled,8711.34087024,Warning: No quote information available at 12/21/2017 12:00:00 America/New_York, order filled using TradeBar data 
2017-12-28T19:00:00Z,PILL,26.610045658,-318,Market,Filled,-8461.994519244,Warning: No quote information available at 12/28/2017 14:00:00 America/New_York, order filled using TradeBar data 
2018-01-02T18:00:00Z,PILL,28.13856003,301,Market,Filled,8469.70656903,Warning: No quote information available at 01/02/2018 13:00:00 America/New_York, order filled using TradeBar data 
2018-01-08T15:00:00Z,PILL,28.793637618,-207,Market,Filled,-5960.282986926,Warning: No quote information available at 01/08/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-01-08T18:00:00Z,PILL,30.014464032,198,Market,Filled,5942.863878336,Warning: No quote information available at 01/08/2018 13:00:00 America/New_York, order filled using TradeBar data 
2018-01-24T17:00:00Z,PILL,32.743953982,-201,Market,Filled,-6581.534750382,Warning: No quote information available at 01/24/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-01-24T19:00:00Z,PILL,33.567763676,194,Market,Filled,6512.146153144,Warning: No quote information available at 01/24/2018 14:00:00 America/New_York, order filled using TradeBar data 
2018-01-30T15:00:00Z,PILL,33.64716702,-195,Market,Filled,-6561.1975689,Warning: No quote information available at 01/30/2018 10:00:00 America/New_York, order filled using TradeBar data 
