Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2011-12-07T15:00:00Z,SMDD,9151.82419968,1,Market,Filled,9151.82419968,Warning: No quote information available at 12/07/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-12-09T20:00:00Z,SMDD,8833.10395392,-1,Market,Filled,-8833.10395392,Warning: No quote information available at 12/09/2011 15:00:00 America/New_York, order filled using TradeBar data 
2011-12-28T16:00:00Z,SMDD,9025.34791168,1,Market,Filled,9025.34791168,Warning: No quote information available at 12/28/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-12-29T17:00:00Z,SMDD,8757.21818112,-1,Market,Filled,-8757.21818112,Warning: No quote information available at 12/29/2011 12:00:00 America/New_York, order filled using TradeBar data 
2011-12-30T21:00:00Z,SMDD,8306.96259584,1,Market On Open,Filled,8306.96259584, 
2012-01-03T15:00:00Z,SMDD,8342.37595648,-1,Market,Filled,-8342.37595648,Warning: No quote information available at 01/03/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-01-04T16:00:00Z,SMDD,8838.16300544,1,Market,Filled,8838.16300544,Warning: No quote information available at 01/04/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-01-05T18:00:00Z,SMDD,8514.38370816,-1,Market,Filled,-8514.38370816,Warning: No quote information available at 01/05/2012 13:00:00 America/New_York, order filled using TradeBar data 
2012-01-25T15:00:00Z,SMDD,7446.92383744,1,Market,Filled,7446.92383744,Warning: No quote information available at 01/25/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-01-25T16:00:00Z,SMDD,7355.86091008,-1,Market,Filled,-7355.86091008,Warning: No quote information available at 01/25/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-01-30T15:00:00Z,SMDD,7386.2152192,1,Market,Filled,7386.2152192,Warning: No quote information available at 01/30/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-02-01T15:00:00Z,SMDD,7092.79023104,-1,Market,Filled,-7092.79023104,Warning: No quote information available at 02/01/2012 10:00:00 America/New_York, order filled using TradeBar data 
