Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2018-02-01T15:00:00Z,FNGD,8874,1,Market,Filled,8874,Warning: No quote information available at 02/01/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-02-01T16:00:00Z,FNGD,8424,-1,Market,Filled,-8424,Warning: No quote information available at 02/01/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-02-22T19:00:00Z,FNGD,8062,1,Market,Filled,8062,Warning: No quote information available at 02/22/2018 14:00:00 America/New_York, order filled using TradeBar data 
2018-02-23T16:00:00Z,FNGD,7654,-1,Market,Filled,-7654,Warning: No quote information available at 02/23/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-02-28T21:00:00Z,FNGD,7824,1,Market On Open,Filled,7824, 
2018-03-05T18:00:00Z,FNGD,7444,-1,Market,Filled,-7444,Warning: No quote information available at 03/05/2018 13:00:00 America/New_York, order filled using TradeBar data 
2018-03-13T20:00:00Z,FNGD,6660,1,Market On Open,Filled,6660, 
2018-03-14T17:00:00Z,FNGD,6620,-1,Market,Filled,-6620,Warning: No quote information available at 03/14/2018 13:00:00 America/New_York, order filled using TradeBar data 
2018-03-16T16:00:00Z,FNGD,6686,1,Market,Filled,6686,Warning: No quote information available at 03/16/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-04-05T14:00:00Z,FNGD,8910,-1,Market,Filled,-8910,Warning: No quote information available at 04/05/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-04-06T19:00:00Z,FNGD,9466,1,Market,Filled,9466,Warning: No quote information available at 04/06/2018 15:00:00 America/New_York, order filled using TradeBar data 
2018-04-09T14:00:00Z,FNGD,8800,-1,Market,Filled,-8800,Warning: No quote information available at 04/09/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-04-16T16:00:00Z,FNGD,8466,1,Market,Filled,8466,Warning: No quote information available at 04/16/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-04-17T14:00:00Z,FNGD,7842,-1,Market,Filled,-7842,Warning: No quote information available at 04/17/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-04-23T14:00:00Z,FNGD,7800,1,Market,Filled,7800,Warning: No quote information available at 04/23/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-04-26T18:00:00Z,FNGD,7946,-1,Market,Filled,-7946,Warning: No quote information available at 04/26/2018 14:00:00 America/New_York, order filled using TradeBar data 
2018-05-03T15:00:00Z,FNGD,7804,1,Market,Filled,7804,Warning: No quote information available at 05/03/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-05-03T19:00:00Z,FNGD,7418,-1,Market,Filled,-7418,Warning: No quote information available at 05/03/2018 15:00:00 America/New_York, order filled using TradeBar data 
2018-05-15T14:00:00Z,FNGD,6398,1,Market,Filled,6398,Warning: No quote information available at 05/15/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-05-17T15:00:00Z,FNGD,6044,-1,Market,Filled,-6044,Warning: No quote information available at 05/17/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-05-17T18:00:00Z,FNGD,6230,1,Market,Filled,6230,Warning: No quote information available at 05/17/2018 14:00:00 America/New_York, order filled using TradeBar data 
2018-05-24T18:00:00Z,FNGD,6260,-1,Market,Filled,-6260,Warning: No quote information available at 05/24/2018 14:00:00 America/New_York, order filled using TradeBar data 
2018-06-07T15:00:00Z,FNGD,5196,1,Market,Filled,5196,Warning: No quote information available at 06/07/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-06-11T15:00:00Z,FNGD,5020,-1,Market,Filled,-5020,Warning: No quote information available at 06/11/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-06-19T14:00:00Z,FNGD,4656,1,Market,Filled,4656,Warning: No quote information available at 06/19/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-06-20T14:00:00Z,FNGD,4386,-1,Market,Filled,-4386,Warning: No quote information available at 06/20/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-06-21T15:00:00Z,FNGD,4476,1,Market,Filled,4476,Warning: No quote information available at 06/21/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-07-06T15:00:00Z,FNGD,4858,-1,Market,Filled,-4858,Warning: No quote information available at 07/06/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-07-11T14:00:00Z,FNGD,4698,1,Market,Filled,4698,Warning: No quote information available at 07/11/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-07-12T14:00:00Z,FNGD,4508,-1,Market,Filled,-4508,Warning: No quote information available at 07/12/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-07-13T14:00:00Z,FNGD,4592,1,Market,Filled,4592,Warning: No quote information available at 07/13/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-07-13T17:00:00Z,FNGD,4520,-1,Market,Filled,-4520,Warning: No quote information available at 07/13/2018 13:00:00 America/New_York, order filled using TradeBar data 
2018-07-16T15:00:00Z,FNGD,4588,1,Market,Filled,4588,Warning: No quote information available at 07/16/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-07-17T18:00:00Z,FNGD,4440,-1,Market,Filled,-4440,Warning: No quote information available at 07/17/2018 14:00:00 America/New_York, order filled using TradeBar data 
2018-07-18T14:00:00Z,FNGD,4528,1,Market,Filled,4528,Warning: No quote information available at 07/18/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-07-24T14:00:00Z,FNGD,4600,-1,Market,Filled,-4600,Warning: No quote information available at 07/24/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-07-24T17:00:00Z,FNGD,4756,1,Market,Filled,4756,Warning: No quote information available at 07/24/2018 13:00:00 America/New_York, order filled using TradeBar data 
2018-07-25T16:00:00Z,FNGD,4564,-1,Market,Filled,-4564,Warning: No quote information available at 07/25/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-07-26T14:00:00Z,FNGD,4848,1,Market,Filled,4848,Warning: No quote information available at 07/26/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-08-02T16:00:00Z,FNGD,5360,-1,Market,Filled,-5360,Warning: No quote information available at 08/02/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-08-09T14:00:00Z,FNGD,4972,1,Market,Filled,4972,Warning: No quote information available at 08/09/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-08-13T15:00:00Z,FNGD,4932,-1,Market,Filled,-4932,Warning: No quote information available at 08/13/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-08-13T16:00:00Z,FNGD,5070,1,Market,Filled,5070,Warning: No quote information available at 08/13/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-08-21T14:00:00Z,FNGD,5270,-1,Market,Filled,-5270,Warning: No quote information available at 08/21/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-08-30T14:00:00Z,FNGD,4784,1,Market,Filled,4784,Warning: No quote information available at 08/30/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-08-30T15:00:00Z,FNGD,4636,-1,Market,Filled,-4636,Warning: No quote information available at 08/30/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-08-31T16:00:00Z,FNGD,4754,1,Market,Filled,4754,Warning: No quote information available at 08/31/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-09-12T16:00:00Z,FNGD,5460,-1,Market,Filled,-5460,Warning: No quote information available at 09/12/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-09-17T14:00:00Z,FNGD,5496,1,Market,Filled,5496,Warning: No quote information available at 09/17/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-09-19T20:00:00Z,FNGD,5250,-1,Market On Open,Filled,-5250, 
2018-09-21T20:00:00Z,FNGD,5636,1,Market On Open,Filled,5636, 
2018-09-26T14:00:00Z,FNGD,5180,-1,Market,Filled,-5180,Warning: No quote information available at 09/26/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-09-28T14:00:00Z,FNGD,5252,1,Market,Filled,5252,Warning: No quote information available at 09/28/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-10-01T14:00:00Z,FNGD,4890,-1,Market,Filled,-4890,Warning: No quote information available at 10/01/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-10-02T14:00:00Z,FNGD,5136,1,Market,Filled,5136,Warning: No quote information available at 10/02/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-10-16T14:00:00Z,FNGD,6358,-1,Market,Filled,-6358,Warning: No quote information available at 10/16/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-10-18T16:00:00Z,FNGD,6458,1,Market,Filled,6458,Warning: No quote information available at 10/18/2018 12:00:00 America/New_York, order filled using TradeBar data 
