Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2012-09-20T14:00:00Z,TZA,9032.83460352,1,Market,Filled,9032.83460352,Warning: No quote information available at 09/20/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-09-21T14:00:00Z,TZA,8644.72944384,-1,Market,Filled,-8644.72944384,Warning: No quote information available at 09/21/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-09-24T14:00:00Z,TZA,8876.34058752,1,Market,Filled,8876.34058752,Warning: No quote information available at 09/24/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-10-01T15:00:00Z,TZA,9076.652928,-1,Market,Filled,-9076.652928,Warning: No quote information available at 10/01/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-10-02T15:00:00Z,TZA,9226.88718336,1,Market,Filled,9226.88718336,Warning: No quote information available at 10/02/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-10-04T20:00:00Z,TZA,8926.41867264,-1,Market On Open,Filled,-8926.41867264, 
2012-12-24T15:00:00Z,TZA,8682.28800768,1,Market,Filled,8682.28800768,Warning: No quote information available at 12/24/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-12-31T20:00:00Z,TZA,8544.5732736,-1,Market,Filled,-8544.5732736,Warning: No quote information available at 12/31/2012 15:00:00 America/New_York, order filled using TradeBar data 
2013-01-15T15:00:00Z,TZA,7593.08965632,1,Market,Filled,7593.08965632,Warning: No quote information available at 01/15/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-01-15T17:00:00Z,TZA,7486.67372544,-1,Market,Filled,-7486.67372544,Warning: No quote information available at 01/15/2013 12:00:00 America/New_York, order filled using TradeBar data 
2013-01-16T16:00:00Z,TZA,7524.23228928,1,Market,Filled,7524.23228928,Warning: No quote information available at 01/16/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-01-16T19:00:00Z,TZA,7467.89444352,-1,Market,Filled,-7467.89444352,Warning: No quote information available at 01/16/2013 14:00:00 America/New_York, order filled using TradeBar data 
2013-01-30T16:00:00Z,TZA,6979.6331136,1,Market,Filled,6979.6331136,Warning: No quote information available at 01/30/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-02-01T16:00:00Z,TZA,6823.1390976,-1,Market,Filled,-6823.1390976,Warning: No quote information available at 02/01/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-02-04T17:00:00Z,TZA,6985.89287424,1,Market,Filled,6985.89287424,Warning: No quote information available at 02/04/2013 12:00:00 America/New_York, order filled using TradeBar data 
2013-02-05T16:00:00Z,TZA,6816.87933696,-1,Market,Filled,-6816.87933696,Warning: No quote information available at 02/05/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-02-07T16:00:00Z,TZA,6898.25622528,1,Market,Filled,6898.25622528,Warning: No quote information available at 02/07/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-02-08T15:00:00Z,TZA,6716.72316672,-1,Market,Filled,-6716.72316672,Warning: No quote information available at 02/08/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-02-20T20:00:00Z,TZA,6466.33274112,1,Market,Filled,6466.33274112,Warning: No quote information available at 02/20/2013 15:00:00 America/New_York, order filled using TradeBar data 
2013-02-27T20:00:00Z,TZA,6585.26819328,-1,Market,Filled,-6585.26819328,Warning: No quote information available at 02/27/2013 15:00:00 America/New_York, order filled using TradeBar data 
2013-03-01T15:00:00Z,TZA,6848.17814016,1,Market,Filled,6848.17814016,Warning: No quote information available at 03/01/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-03-01T18:00:00Z,TZA,6597.78771456,-1,Market,Filled,-6597.78771456,Warning: No quote information available at 03/01/2013 13:00:00 America/New_York, order filled using TradeBar data 
2013-03-19T15:00:00Z,TZA,5890.43476224,1,Market,Filled,5890.43476224,Warning: No quote information available at 03/19/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-03-20T19:00:00Z,TZA,5802.79811328,-1,Market,Filled,-5802.79811328,Warning: No quote information available at 03/20/2013 15:00:00 America/New_York, order filled using TradeBar data 
2013-03-21T15:00:00Z,TZA,5896.69452288,1,Market,Filled,5896.69452288,Warning: No quote information available at 03/21/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-03-25T14:00:00Z,TZA,5765.23954944,-1,Market,Filled,-5765.23954944,Warning: No quote information available at 03/25/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-03-25T16:00:00Z,TZA,5890.43476224,1,Market,Filled,5890.43476224,Warning: No quote information available at 03/25/2013 12:00:00 America/New_York, order filled using TradeBar data 
2013-03-26T20:00:00Z,TZA,5915.4738048,-1,Market On Open,Filled,-5915.4738048, 
2013-03-27T14:00:00Z,TZA,5953.03236864,1,Market,Filled,5953.03236864,Warning: No quote information available at 03/27/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-03-28T15:00:00Z,TZA,5765.23954944,-1,Market,Filled,-5765.23954944,Warning: No quote information available at 03/28/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-04-01T15:00:00Z,TZA,6034.40925696,1,Market,Filled,6034.40925696,Warning: No quote information available at 04/01/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-04-08T20:00:00Z,TZA,6082.92240192,-1,Market On Open,Filled,-6082.92240192, 
2013-04-15T14:00:00Z,TZA,6017.1949152,1,Market,Filled,6017.1949152,Warning: No quote information available at 04/15/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-04-22T18:00:00Z,TZA,6388.08573312,-1,Market,Filled,-6388.08573312,Warning: No quote information available at 04/22/2013 14:00:00 America/New_York, order filled using TradeBar data 
2013-05-01T14:00:00Z,TZA,5849.74631808,1,Market,Filled,5849.74631808,Warning: No quote information available at 05/01/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-05-03T14:00:00Z,TZA,5481.98538048,-1,Market,Filled,-5481.98538048,Warning: No quote information available at 05/03/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-05-22T18:00:00Z,TZA,4845.05473536,1,Market,Filled,4845.05473536,Warning: No quote information available at 05/22/2013 14:00:00 America/New_York, order filled using TradeBar data 
2013-05-28T14:00:00Z,TZA,4679.1710784,-1,Market,Filled,-4679.1710784,Warning: No quote information available at 05/28/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-05-29T15:00:00Z,TZA,5009.37345216,1,Market,Filled,5009.37345216,Warning: No quote information available at 05/29/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-05-30T14:00:00Z,TZA,4807.49617152,-1,Market,Filled,-4807.49617152,Warning: No quote information available at 05/30/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-05-31T15:00:00Z,TZA,4862.26907712,1,Market,Filled,4862.26907712,Warning: No quote information available at 05/31/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-06-07T16:00:00Z,TZA,4893.56788032,-1,Market,Filled,-4893.56788032,Warning: No quote information available at 06/07/2013 12:00:00 America/New_York, order filled using TradeBar data 
2013-06-11T14:00:00Z,TZA,4985.89934976,1,Market,Filled,4985.89934976,Warning: No quote information available at 06/11/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-06-11T17:00:00Z,TZA,4874.7885984,-1,Market,Filled,-4874.7885984,Warning: No quote information available at 06/11/2013 13:00:00 America/New_York, order filled using TradeBar data 
2013-06-11T18:00:00Z,TZA,4960.8603072,1,Market,Filled,4960.8603072,Warning: No quote information available at 06/11/2013 14:00:00 America/New_York, order filled using TradeBar data 
2013-06-14T14:00:00Z,TZA,4818.45075264,-1,Market,Filled,-4818.45075264,Warning: No quote information available at 06/14/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-06-19T19:00:00Z,TZA,4840.35991488,1,Market,Filled,4840.35991488,Warning: No quote information available at 06/19/2013 15:00:00 America/New_York, order filled using TradeBar data 
2013-06-26T14:00:00Z,TZA,5111.09456256,-1,Market,Filled,-5111.09456256,Warning: No quote information available at 06/26/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-07-23T15:00:00Z,TZA,3932.69462208,1,Market,Filled,3932.69462208,Warning: No quote information available at 07/23/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-07-23T16:00:00Z,TZA,3910.78545984,-1,Market,Filled,-3910.78545984,Warning: No quote information available at 07/23/2013 12:00:00 America/New_York, order filled using TradeBar data 
2013-07-24T14:00:00Z,TZA,3935.8245024,1,Market,Filled,3935.8245024,Warning: No quote information available at 07/24/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-07-31T15:00:00Z,TZA,3935.8245024,-1,Market,Filled,-3935.8245024,Warning: No quote information available at 07/31/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-08-06T14:00:00Z,TZA,3860.70737472,1,Market,Filled,3860.70737472,Warning: No quote information available at 08/06/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-08-12T20:00:00Z,TZA,3873.226896,-1,Market On Open,Filled,-3873.226896, 
2013-08-13T15:00:00Z,TZA,3954.60378432,1,Market,Filled,3954.60378432,Warning: No quote information available at 08/13/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-08-21T19:00:00Z,TZA,4118.92250112,-1,Market,Filled,-4118.92250112,Warning: No quote information available at 08/21/2013 15:00:00 America/New_York, order filled using TradeBar data 
2013-08-27T14:00:00Z,TZA,4123.6173216,1,Market,Filled,4123.6173216,Warning: No quote information available at 08/27/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-09-03T14:00:00Z,TZA,4136.13684288,-1,Market,Filled,-4136.13684288,Warning: No quote information available at 09/03/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-09-03T17:00:00Z,TZA,4276.824963264,1,Market,Filled,4276.824963264,Warning: No quote information available at 09/03/2013 13:00:00 America/New_York, order filled using TradeBar data 
2013-09-05T14:00:00Z,TZA,4081.36393728,-1,Market,Filled,-4081.36393728,Warning: No quote information available at 09/05/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-09-06T14:00:00Z,TZA,4173.69540672,1,Market,Filled,4173.69540672,Warning: No quote information available at 09/06/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-09-06T15:00:00Z,TZA,4057.88983488,-1,Market,Filled,-4057.88983488,Warning: No quote information available at 09/06/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-09-12T16:00:00Z,TZA,3824.71375104,1,Market,Filled,3824.71375104,Warning: No quote information available at 09/12/2013 12:00:00 America/New_York, order filled using TradeBar data 
