Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2010-08-02T20:00:00Z,RETL,1.1143562228573,8227,Market On Open,Filled,9167.8086454473, 
2010-08-06T14:00:00Z,RETL,1.1165910811634,-5561,Market,Filled,-6209.3630023496,Warning: No quote information available at 08/06/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-09T14:00:00Z,RETL,1.1570978879607,5548,Market,Filled,6419.5790824057,Warning: No quote information available at 08/09/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-10T14:00:00Z,RETL,1.1336318757471,-5625,Market,Filled,-6376.6793010773,Warning: No quote information available at 08/10/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-11T16:00:00Z,RETL,1.1012264303093,-2589,Market,Filled,-2851.0752280707,Warning: No quote information available at 08/11/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-08-17T14:00:00Z,RETL,1.1191052967577,8188,Market,Filled,9163.2341698521,Warning: No quote information available at 08/17/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-19T16:00:00Z,RETL,1.0875379231847,-8188,Market,Filled,-8904.760515036,Warning: No quote information available at 08/19/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-08-23T14:00:00Z,RETL,1.1224575842168,7877,Market,Filled,8841.5983908756,Warning: No quote information available at 08/23/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-23T20:00:00Z,RETL,1.061837052665,-7877,Market On Open,Filled,-8364.0904638423, 
2010-08-25T19:00:00Z,RETL,1.1017851448858,7546,Market,Filled,8314.070703308,Warning: No quote information available at 08/25/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-08-30T20:00:00Z,RETL,1.050942118423,-7546,Market On Open,Filled,-7930.4092256198, 
2010-09-01T15:00:00Z,RETL,1.1143562228573,7072,Market,Filled,7880.7272080471,Warning: No quote information available at 09/01/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-09-17T14:00:00Z,RETL,1.2459335056264,-4857,Market,Filled,-6051.4990368274,Warning: No quote information available at 09/17/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-09-20T15:00:00Z,RETL,1.2906306717475,4614,Market,Filled,5954.9699194431,Warning: No quote information available at 09/20/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-10-01T16:00:00Z,RETL,1.3505357285855,-4683,Market,Filled,-6324.5588169659,Warning: No quote information available at 10/01/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-10-05T14:00:00Z,RETL,1.3667466293011,4579,Market,Filled,6258.3328155699,Warning: No quote information available at 10/05/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-13T20:00:00Z,RETL,1.3762495711,-6725,Market On Open,Filled,-9255.2783656472, 
2010-10-15T14:00:00Z,RETL,1.3812805402876,4556,Market,Filled,6293.1141415501,Warning: No quote information available at 10/15/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-15T20:00:00Z,RETL,1.3977709392914,2072,Market On Open,Filled,2896.1813862118, 
2010-10-19T14:00:00Z,RETL,1.3650696395719,-6628,Market,Filled,-9047.6815710827,Warning: No quote information available at 10/19/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-21T14:00:00Z,RETL,1.4092303691076,6381,Market,Filled,8992.2989852758,Warning: No quote information available at 10/21/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-26T14:00:00Z,RETL,1.4095098673958,-4371,Market,Filled,-6160.9676303872,Warning: No quote information available at 10/26/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-26T15:00:00Z,RETL,1.4148203348716,4325,Market,Filled,6119.0979483198,Warning: No quote information available at 10/26/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-10-27T14:00:00Z,RETL,1.4022429119026,-4339,Market,Filled,-6084.3319947454,Warning: No quote information available at 10/27/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-27T16:00:00Z,RETL,1.3821190351522,-1996,Market,Filled,-2758.7095941637,Warning: No quote information available at 10/27/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-11-01T14:00:00Z,RETL,1.4025224101908,4292,Market,Filled,6019.626184539,Warning: No quote information available at 11/01/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-11-01T15:00:00Z,RETL,1.4053173930728,1970,Market,Filled,2768.4752643535,Warning: No quote information available at 11/01/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-11-01T16:00:00Z,RETL,1.3938579632566,-1980,Market,Filled,-2759.8387672481,Warning: No quote information available at 11/01/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-11-01T17:00:00Z,RETL,1.3896654889336,-4282,Market,Filled,-5950.5476236136,Warning: No quote information available at 11/01/2010 13:00:00 America/New_York, order filled using TradeBar data 
2010-11-01T18:00:00Z,RETL,1.394416959833,4252,Market,Filled,5929.0609132099,Warning: No quote information available at 11/01/2010 14:00:00 America/New_York, order filled using TradeBar data 
