Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2010-10-19T14:00:00Z,YANG,8575.7276,1,Market,Filled,8575.7276,Warning: No quote information available at 10/19/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-25T14:00:00Z,YANG,7941.399125,-1,Market,Filled,-7941.399125,Warning: No quote information available at 10/25/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-27T15:00:00Z,YANG,8369.20205,1,Market,Filled,8369.20205,Warning: No quote information available at 10/27/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-11-01T14:00:00Z,YANG,7936.48185,-1,Market,Filled,-7936.48185,Warning: No quote information available at 11/01/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-11-09T21:00:00Z,YANG,7729.9563,1,Market On Open,Filled,7729.9563, 
2010-11-11T20:00:00Z,YANG,7380.829775,-1,Market,Filled,-7380.829775,Warning: No quote information available at 11/11/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-11-12T15:00:00Z,YANG,7710.2872,1,Market,Filled,7710.2872,Warning: No quote information available at 11/12/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-11-19T21:00:00Z,YANG,8585.56215,-1,Market On Open,Filled,-8585.56215, 
2010-11-22T18:00:00Z,YANG,8801.92225,1,Market,Filled,8801.92225,Warning: No quote information available at 11/22/2010 13:00:00 America/New_York, order filled using TradeBar data 
2010-11-22T21:00:00Z,YANG,9047.786,-1,Market On Open,Filled,-9047.786, 
2010-11-23T15:00:00Z,YANG,9077.28965,1,Market,Filled,9077.28965,Warning: No quote information available at 11/23/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-11-24T16:00:00Z,YANG,8664.23855,-1,Market,Filled,-8664.23855,Warning: No quote information available at 11/24/2010 11:00:00 America/New_York, order filled using TradeBar data 
2011-01-07T18:00:00Z,YANG,8634.7349,1,Market,Filled,8634.7349,Warning: No quote information available at 01/07/2011 13:00:00 America/New_York, order filled using TradeBar data 
2011-01-07T21:00:00Z,YANG,8536.3894,-1,Market On Open,Filled,-8536.3894, 
2011-01-10T15:00:00Z,YANG,8477.3821,1,Market,Filled,8477.3821,Warning: No quote information available at 01/10/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-01-10T21:00:00Z,YANG,8039.744625,-1,Market On Open,Filled,-8039.744625, 
2011-01-20T15:00:00Z,YANG,7897.14365,1,Market,Filled,7897.14365,Warning: No quote information available at 01/20/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-01-27T15:00:00Z,YANG,7592.2726,-1,Market,Filled,-7592.2726,Warning: No quote information available at 01/27/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-01-28T15:00:00Z,YANG,7911.895475,1,Market,Filled,7911.895475,Warning: No quote information available at 01/28/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-02-01T15:00:00Z,YANG,7587.355325,-1,Market,Filled,-7587.355325,Warning: No quote information available at 02/01/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-02-07T20:00:00Z,YANG,7592.2726,1,Market,Filled,7592.2726,Warning: No quote information available at 02/07/2011 15:00:00 America/New_York, order filled using TradeBar data 
2011-02-11T16:00:00Z,YANG,7690.6181,-1,Market,Filled,-7690.6181,Warning: No quote information available at 02/11/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-02-22T15:00:00Z,YANG,7690.6181,1,Market,Filled,7690.6181,Warning: No quote information available at 02/22/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-02-28T15:00:00Z,YANG,7695.535375,-1,Market,Filled,-7695.535375,Warning: No quote information available at 02/28/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-04-12T14:00:00Z,YANG,6638.32125,1,Market,Filled,6638.32125,Warning: No quote information available at 04/12/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-04-14T20:00:00Z,YANG,6190.849225,-1,Market On Open,Filled,-6190.849225, 
2011-04-18T14:00:00Z,YANG,6594.065775,1,Market,Filled,6594.065775,Warning: No quote information available at 04/18/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-04-19T16:00:00Z,YANG,6303.94655,-1,Market,Filled,-6303.94655,Warning: No quote information available at 04/19/2011 12:00:00 America/New_York, order filled using TradeBar data 
2011-04-27T15:00:00Z,YANG,6377.705675,1,Market,Filled,6377.705675,Warning: No quote information available at 04/27/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-05-02T15:00:00Z,YANG,5984.323675,-1,Market,Filled,-5984.323675,Warning: No quote information available at 05/02/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-05-03T14:00:00Z,YANG,6338.367475,1,Market,Filled,6338.367475,Warning: No quote information available at 05/03/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-05-09T17:00:00Z,YANG,6608.8176,-1,Market,Filled,-6608.8176,Warning: No quote information available at 05/09/2011 13:00:00 America/New_York, order filled using TradeBar data 
2011-05-11T18:00:00Z,YANG,6712.080375,1,Market,Filled,6712.080375,Warning: No quote information available at 05/11/2011 14:00:00 America/New_York, order filled using TradeBar data 
2011-05-19T14:00:00Z,YANG,6997.282325,-1,Market,Filled,-6997.282325,Warning: No quote information available at 05/19/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-05-20T14:00:00Z,YANG,7134.966025,1,Market,Filled,7134.966025,Warning: No quote information available at 05/20/2011 10:00:00 America/New_York, order filled using TradeBar data 
