Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2011-07-01T14:00:00Z,CURE,4.505409942,2101,Market,Filled,9465.866288142,Warning: No quote information available at 06/30/2011 16:00:00 America/New_York, order filled using TradeBar data 
2011-07-08T14:00:00Z,CURE,4.58057272875,-1439,Market,Filled,-6591.4441566713,Warning: No quote information available at 07/08/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-07-08T16:00:00Z,CURE,4.53917873025,-662,Market,Filled,-3004.9363194255,Warning: No quote information available at 07/08/2011 12:00:00 America/New_York, order filled using TradeBar data 
2011-07-13T14:00:00Z,CURE,4.4945167845,1457,Market,Filled,6548.5109550165,Warning: No quote information available at 07/13/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-07-13T15:00:00Z,CURE,4.566411624,660,Market,Filled,3013.83167184,Warning: No quote information available at 07/13/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-07-13T20:00:00Z,CURE,4.4553014175,-667,Market On Open,Filled,-2971.6860454725, 
2011-07-15T14:00:00Z,CURE,4.440050997,-1450,Market,Filled,-6438.07394565,Warning: No quote information available at 07/15/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-07-19T18:00:00Z,CURE,4.352905737,1478,Market,Filled,6433.594679286,Warning: No quote information available at 07/19/2011 14:00:00 America/New_York, order filled using TradeBar data 
2011-07-20T19:00:00Z,CURE,4.37142410475,679,Market,Filled,2968.1969671253,Warning: No quote information available at 07/20/2011 15:00:00 America/New_York, order filled using TradeBar data 
2011-07-25T14:00:00Z,CURE,4.39538905125,-1477,Market,Filled,-6491.9896286963,Warning: No quote information available at 07/25/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-07-26T15:00:00Z,CURE,4.296261318,-680,Market,Filled,-2921.45769624,Warning: No quote information available at 07/26/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-08-11T14:00:00Z,CURE,2.74616500575,2340,Market,Filled,6426.026113455,Warning: No quote information available at 08/11/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-08-11T18:00:00Z,CURE,2.9215448415,1007,Market,Filled,2941.9956553905,Warning: No quote information available at 08/11/2011 14:00:00 America/New_York, order filled using TradeBar data 
2011-08-18T14:00:00Z,CURE,2.97709994475,-3347,Market,Filled,-9964.3535150782,Warning: No quote information available at 08/18/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-08-23T15:00:00Z,CURE,2.98581447075,2275,Market,Filled,6792.7279209563,Warning: No quote information available at 08/23/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-08-23T16:00:00Z,CURE,3.04681615275,1025,Market,Filled,3122.9865565688,Warning: No quote information available at 08/23/2011 12:00:00 America/New_York, order filled using TradeBar data 
2011-08-26T14:00:00Z,CURE,2.99670762825,-2258,Market,Filled,-6766.5658245885,Warning: No quote information available at 08/26/2011 10:00:00 America/New_York, order filled using TradeBar data 
