Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2014-02-05T15:00:00Z,EURL,31.59106731,205,Market,Filled,6476.16879855,Warning: No quote information available at 02/05/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-02-06T16:00:00Z,EURL,33.478941903,88,Market,Filled,2946.146887464,Warning: No quote information available at 02/06/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-02-26T16:00:00Z,EURL,38.573357262,-201,Market,Filled,-7753.244809662,Warning: No quote information available at 02/26/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-02-27T15:00:00Z,EURL,38.165424561,-92,Market,Filled,-3511.219059612,Warning: No quote information available at 02/27/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-02-27T19:00:00Z,EURL,39.161539296,286,Market,Filled,11200.200238656,Warning: No quote information available at 02/27/2014 14:00:00 America/New_York, order filled using TradeBar data 
2014-03-03T15:00:00Z,EURL,37.558268913,-286,Market,Filled,-10741.664909118,Warning: No quote information available at 03/03/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-03-04T15:00:00Z,EURL,38.971803156,276,Market,Filled,10756.217671056,Warning: No quote information available at 03/04/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-03-07T17:00:00Z,EURL,38.725146174,-189,Market,Filled,-7319.052626886,Warning: No quote information available at 03/07/2014 12:00:00 America/New_York, order filled using TradeBar data 
2014-03-10T14:00:00Z,EURL,38.393107929,-87,Market,Filled,-3340.200389823,Warning: No quote information available at 03/10/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-03-17T14:00:00Z,EURL,36.495746529,200,Market,Filled,7299.1493058,Warning: No quote information available at 03/17/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-03-18T14:00:00Z,EURL,37.18828344,90,Market,Filled,3346.9455096,Warning: No quote information available at 03/18/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-03-19T20:00:00Z,EURL,35.76526239,-290,Market On Open,Filled,-10371.9260931, 
2014-03-20T17:00:00Z,EURL,36.230115933,90,Market,Filled,3260.71043397,Warning: No quote information available at 03/20/2014 13:00:00 America/New_York, order filled using TradeBar data 
2014-03-21T16:00:00Z,EURL,36.666509055,195,Market,Filled,7149.969265725,Warning: No quote information available at 03/21/2014 12:00:00 America/New_York, order filled using TradeBar data 
2014-03-21T19:00:00Z,EURL,35.746288776,-285,Market,Filled,-10187.69230116,Warning: No quote information available at 03/21/2014 15:00:00 America/New_York, order filled using TradeBar data 
2014-03-24T14:00:00Z,EURL,35.95499853,194,Market,Filled,6975.26971482,Warning: No quote information available at 03/24/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-03-24T15:00:00Z,EURL,35.281435233,-194,Market,Filled,-6844.598435202,Warning: No quote information available at 03/24/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-03-24T18:00:00Z,EURL,35.992945758,191,Market,Filled,6874.652639778,Warning: No quote information available at 03/24/2014 14:00:00 America/New_York, order filled using TradeBar data 
2014-03-25T14:00:00Z,EURL,36.61907502,87,Market,Filled,3185.85952674,Warning: No quote information available at 03/25/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-04-03T15:00:00Z,EURL,38.99077677,-191,Market,Filled,-7447.23836307,Warning: No quote information available at 04/03/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-04-03T20:00:00Z,EURL,39.208973331,189,Market On Open,Filled,7410.495959559, 
2014-04-04T18:00:00Z,EURL,39.123592068,-189,Market,Filled,-7394.358900852,Warning: No quote information available at 04/04/2014 14:00:00 America/New_York, order filled using TradeBar data 
2014-04-04T20:00:00Z,EURL,38.820014244,-87,Market On Open,Filled,-3377.341239228, 
2014-04-09T14:00:00Z,EURL,38.544896841,191,Market,Filled,7362.075296631,Warning: No quote information available at 04/08/2014 16:00:00 America/New_York, order filled using TradeBar data 
2014-04-09T15:00:00Z,EURL,39.256407366,87,Market,Filled,3415.307440842,Warning: No quote information available at 04/09/2014 11:00:00 America/New_York, order filled using TradeBar data 
