Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2009-01-02T15:00:00Z,TECL,0.264486606975,35659,Market,Filled,9431.3279181215,Warning: No quote information available at 01/02/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-08T15:00:00Z,TECL,0.28395650925,-24474,Market,Filled,-6949.5516073845,Warning: No quote information available at 01/08/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-09T15:00:00Z,TECL,0.2791503369,-11185,Market,Filled,-3122.2965182265,Warning: No quote information available at 01/09/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-16T15:00:00Z,TECL,0.25276543155,26959,Market,Filled,6814.3032691565,Warning: No quote information available at 01/16/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-20T17:00:00Z,TECL,0.226527653925,-26959,Market,Filled,-6106.9590221641,Warning: No quote information available at 01/20/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-01-21T21:00:00Z,TECL,0.2242226529,38112,Market On Open,Filled,8545.5737473248, 
2009-01-22T17:00:00Z,TECL,0.220348289475,-38112,Market,Filled,-8397.9140084712,Warning: No quote information available at 01/22/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-01-23T17:00:00Z,TECL,0.236728509525,37996,Market,Filled,8994.7364479119,Warning: No quote information available at 01/23/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-01-30T15:00:00Z,TECL,0.25502139,-26080,Market,Filled,-6650.9578512,Warning: No quote information available at 01/30/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-30T16:00:00Z,TECL,0.241534681875,-11916,Market,Filled,-2878.1272692225,Warning: No quote information available at 01/30/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-02-03T16:00:00Z,TECL,0.244967662125,26329,Market,Filled,6449.7535760891,Warning: No quote information available at 02/03/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-02-04T15:00:00Z,TECL,0.271352567475,10791,Market,Filled,2928.1655556227,Warning: No quote information available at 02/04/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-02-10T20:00:00Z,TECL,0.26865522585,-25430,Market,Filled,-6831.9023933655,Warning: No quote information available at 02/10/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-02-11T19:00:00Z,TECL,0.26198543565,-11690,Market,Filled,-3062.6097427485,Warning: No quote information available at 02/11/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-02-13T16:00:00Z,TECL,0.28513353105,23575,Market,Filled,6722.0229945037,Warning: No quote information available at 02/13/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-02-17T15:00:00Z,TECL,0.244281066075,-23575,Market,Filled,-5758.9261327181,Warning: No quote information available at 02/17/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-02-25T19:00:00Z,TECL,0.2112754131,28671,Market,Filled,6057.4773689901,Warning: No quote information available at 02/25/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-02-26T15:00:00Z,TECL,0.21196200915,13123,Market,Filled,2781.5774460755,Warning: No quote information available at 02/26/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-03-02T16:00:00Z,TECL,0.191805510825,-41794,Market,Filled,-8016.31951942,Warning: No quote information available at 03/02/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-03-04T15:00:00Z,TECL,0.18979476525,28820,Market,Filled,5469.885134505,Warning: No quote information available at 03/04/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-03-04T16:00:00Z,TECL,0.19587604455,12783,Market,Filled,2503.8834774827,Warning: No quote information available at 03/04/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-03-05T16:00:00Z,TECL,0.185331890925,-13099,Market,Filled,-2427.6624392266,Warning: No quote information available at 03/05/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-03-05T18:00:00Z,TECL,0.179741037375,-28504,Market,Filled,-5123.338529337,Warning: No quote information available at 03/05/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-03-10T14:00:00Z,TECL,0.174542524425,29481,Market,Filled,5145.6881625734,Warning: No quote information available at 03/10/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-03-10T15:00:00Z,TECL,0.18175178295,12947,Market,Filled,2353.1403338537,Warning: No quote information available at 03/10/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-03-30T14:00:00Z,TECL,0.250200294375,-42428,Market,Filled,-10615.498089742,Warning: No quote information available at 03/30/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-03-31T18:00:00Z,TECL,0.27311079191875,12030,Market,Filled,3285.5228267826,Warning: No quote information available at 03/31/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-03-31T19:00:00Z,TECL,0.27909597543125,25373,Market,Filled,7081.5021846171,Warning: No quote information available at 03/31/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-04-01T14:00:00Z,TECL,0.25888371635625,-11750,Market,Filled,-3041.8836671859,Warning: No quote information available at 04/01/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-01T15:00:00Z,TECL,0.2769864435375,10930,Market,Filled,3027.4618278649,Warning: No quote information available at 04/01/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-04-07T14:00:00Z,TECL,0.2958250539375,-25105,Market,Filled,-7426.6879791009,Warning: No quote information available at 04/07/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-08T17:00:00Z,TECL,0.31255413244375,23397,Market,Filled,7312.8290367864,Warning: No quote information available at 04/08/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-04-15T14:00:00Z,TECL,0.30568588906875,-34875,Market,Filled,-10660.795381273,Warning: No quote information available at 04/15/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-16T14:00:00Z,TECL,0.3289888576625,32134,Market,Filled,10571.727952127,Warning: No quote information available at 04/16/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-20T15:00:00Z,TECL,0.31098424824375,-32134,Market,Filled,-9993.1678330647,Warning: No quote information available at 04/20/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-04-21T20:00:00Z,TECL,0.31834308043125,9652,Market On Open,Filled,3072.6474123224, 
