Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2009-05-05T15:00:00Z,TMF,9.64126016925,672,Market,Filled,6478.926833736,Warning: No quote information available at 05/05/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-05-06T18:00:00Z,TMF,9.56253993925,313,Market,Filled,2993.0750009852,Warning: No quote information available at 05/06/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-05-06T20:00:00Z,TMF,8.91309804175,-311,Market On Open,Filled,-2771.9734909843, 
2009-05-07T14:00:00Z,TMF,8.958362174,-674,Market,Filled,-6037.936105276,Warning: No quote information available at 05/07/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-11T14:00:00Z,TMF,8.89735399575,679,Market,Filled,6041.3033631142,Warning: No quote information available at 05/11/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-12T18:00:00Z,TMF,9.139418703,304,Market,Filled,2778.383285712,Warning: No quote information available at 05/12/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-05-18T16:00:00Z,TMF,9.14532272025,-673,Market,Filled,-6154.8021907283,Warning: No quote information available at 05/18/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-05-18T17:00:00Z,TMF,9.07053850175,-310,Market,Filled,-2811.8669355425,Warning: No quote information available at 05/18/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-05-20T20:00:00Z,TMF,9.3086671975,671,Market On Open,Filled,6246.1156895225, 
2009-05-21T14:00:00Z,TMF,9.18468283525,296,Market,Filled,2718.666119234,Warning: No quote information available at 05/21/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-21T16:00:00Z,TMF,8.7576255875,-967,Market,Filled,-8468.6239431125,Warning: No quote information available at 05/21/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-05-29T14:00:00Z,TMF,7.5846941605,765,Market,Filled,5802.2910327825,Warning: No quote information available at 05/29/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-29T16:00:00Z,TMF,7.87005499425,339,Market,Filled,2667.9486430507,Warning: No quote information available at 05/29/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-06-01T16:00:00Z,TMF,7.41347766025,-347,Market,Filled,-2572.4767481068,Warning: No quote information available at 06/01/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-06-01T17:00:00Z,TMF,7.2461971715,-757,Market,Filled,-5485.3712588255,Warning: No quote information available at 06/01/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-06-02T17:00:00Z,TMF,7.55911008575,337,Market,Filled,2547.4200988977,Warning: No quote information available at 06/02/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-06-03T18:00:00Z,TMF,7.71458254,716,Market,Filled,5523.64109864,Warning: No quote information available at 06/03/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-06-04T19:00:00Z,TMF,7.15763691275,-1053,Market,Filled,-7536.9916691258,Warning: No quote information available at 06/04/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-06-09T14:00:00Z,TMF,7.0572686195,733,Market,Filled,5172.9778980935,Warning: No quote information available at 06/09/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-09T18:00:00Z,TMF,6.85062801575,-733,Market,Filled,-5021.5103355447,Warning: No quote information available at 06/09/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-06-11T20:00:00Z,TMF,6.8762120905,743,Market On Open,Filled,5109.0255832415, 
2009-06-12T14:00:00Z,TMF,6.96083633775,330,Market,Filled,2297.0759914575,Warning: No quote information available at 06/12/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-18T15:00:00Z,TMF,7.20093303925,-735,Market,Filled,-5292.6857838488,Warning: No quote information available at 06/18/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-06-19T14:00:00Z,TMF,7.076948677,-338,Market,Filled,-2392.008652826,Warning: No quote information available at 06/19/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-19T16:00:00Z,TMF,7.29146130375,332,Market,Filled,2420.765152845,Warning: No quote information available at 06/19/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-06-19T20:00:00Z,TMF,7.62995829275,706,Market On Open,Filled,5386.7505546815, 
2009-07-01T15:00:00Z,TMF,7.881219419,-717,Market,Filled,-5650.834323423,Warning: No quote information available at 07/01/2009 11:00:00 America/New_York, order filled using TradeBar data 
