Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2013-05-01T14:00:00Z,KORU,40.520374784,233,Market,Filled,9441.247324672,Warning: No quote information available at 05/01/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-05-09T14:00:00Z,KORU,41.00823936,-160,Market,Filled,-6561.3182976,Warning: No quote information available at 05/08/2013 16:00:00 America/New_York, order filled using TradeBar data 
2013-05-09T20:00:00Z,KORU,37.952182016,157,Market On Open,Filled,5958.492576512, 
2013-05-10T14:00:00Z,KORU,37.87854208,-230,Market,Filled,-8712.0646784,Warning: No quote information available at 05/10/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-05-14T18:00:00Z,KORU,39.5814656,161,Market,Filled,6372.6159616,Warning: No quote information available at 05/14/2013 14:00:00 America/New_York, order filled using TradeBar data 
2013-05-16T14:00:00Z,KORU,40.520374784,73,Market,Filled,2957.987359232,Warning: No quote information available at 05/16/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-05-21T14:00:00Z,KORU,39.912845312,-160,Market,Filled,-6386.05524992,Warning: No quote information available at 05/20/2013 16:00:00 America/New_York, order filled using TradeBar data 
2013-05-22T14:00:00Z,KORU,40.13376512,159,Market,Filled,6381.26865408,Warning: No quote information available at 05/21/2013 16:00:00 America/New_York, order filled using TradeBar data 
2013-05-23T14:00:00Z,KORU,40.13376512,-74,Market,Filled,-2969.89861888,Warning: No quote information available at 05/21/2013 16:00:00 America/New_York, order filled using TradeBar data 
2013-05-24T14:00:00Z,KORU,38.651761408,-159,Market,Filled,-6145.630063872,Warning: No quote information available at 05/24/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-05-29T20:00:00Z,KORU,39.8115904,231,Market On Open,Filled,9196.4773824, 
2013-06-05T14:00:00Z,KORU,40.281044992,-159,Market,Filled,-6404.686153728,Warning: No quote information available at 06/04/2013 16:00:00 America/New_York, order filled using TradeBar data 
2013-06-06T20:00:00Z,KORU,36.801558016,-72,Market On Open,Filled,-2649.712177152, 
2013-06-17T14:00:00Z,KORU,33.368096,184,Market,Filled,6139.729664,Warning: No quote information available at 06/17/2013 10:00:00 America/New_York, order filled using TradeBar data 
2013-06-18T20:00:00Z,KORU,31.11287296,85,Market On Open,Filled,2644.5942016, 
2013-06-19T20:00:00Z,KORU,28.130455552,-269,Market On Open,Filled,-7567.092543488, 
