Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2016-09-29T17:00:00Z,TECS,9397.540386,1,Market,Filled,9397.540386,Warning: No quote information available at 09/29/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-09-29T19:00:00Z,TECS,9265.6622205,-1,Market,Filled,-9265.6622205,Warning: No quote information available at 09/29/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-10-03T16:00:00Z,TECS,9343.8122445,1,Market,Filled,9343.8122445,Warning: No quote information available at 10/03/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-10-04T14:00:00Z,TECS,9197.2809495,-1,Market,Filled,-9197.2809495,Warning: No quote information available at 10/04/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-11-30T15:00:00Z,TECS,8987.25276,1,Market,Filled,8987.25276,Warning: No quote information available at 11/30/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-06T15:00:00Z,TECS,9353.5809975,-1,Market,Filled,-9353.5809975,Warning: No quote information available at 12/06/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-16T18:00:00Z,TECS,8454.8557215,1,Market,Filled,8454.8557215,Warning: No quote information available at 12/16/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-12-19T16:00:00Z,TECS,8254.596285,-1,Market,Filled,-8254.596285,Warning: No quote information available at 12/19/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-12-22T15:00:00Z,TECS,8298.5556735,1,Market,Filled,8298.5556735,Warning: No quote information available at 12/22/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-27T15:00:00Z,TECS,8083.6431075,-1,Market,Filled,-8083.6431075,Warning: No quote information available at 12/27/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-28T15:00:00Z,TECS,8249.7119085,1,Market,Filled,8249.7119085,Warning: No quote information available at 12/28/2016 10:00:00 America/New_York, order filled using TradeBar data 
2017-01-04T15:00:00Z,TECS,8274.133791,-1,Market,Filled,-8274.133791,Warning: No quote information available at 01/04/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-01-12T15:00:00Z,TECS,8103.1806135,1,Market,Filled,8103.1806135,Warning: No quote information available at 01/12/2017 10:00:00 America/New_York, order filled using TradeBar data 
