Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2008-12-03T16:00:00Z,TNA,5.99683703175,1080,Market,Filled,6476.58399429,Warning: No quote information available at 12/03/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-12-03T19:00:00Z,TNA,5.25596411925,-1080,Market,Filled,-5676.44124879,Warning: No quote information available at 12/03/2008 14:00:00 America/New_York, order filled using TradeBar data 
2008-12-03T21:00:00Z,TNA,5.70472142625,993,Market On Open,Filled,5664.7883762663, 
2008-12-04T15:00:00Z,TNA,6.08997534075,495,Market,Filled,3014.5377936712,Warning: No quote information available at 12/04/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-12-05T15:00:00Z,TNA,4.9828995315,-459,Market,Filled,-2287.1508849585,Warning: No quote information available at 12/05/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-12-05T20:00:00Z,TNA,5.9481510975,389,Market,Filled,2313.8307769275,Warning: No quote information available at 12/05/2008 15:00:00 America/New_York, order filled using TradeBar data 
2008-12-11T20:00:00Z,TNA,6.03070550775,-971,Market,Filled,-5855.8150480252,Warning: No quote information available at 12/11/2008 15:00:00 America/New_York, order filled using TradeBar data 
2008-12-11T21:00:00Z,TNA,5.2961829345,-447,Market On Open,Filled,-2367.3937717215, 
2008-12-12T21:00:00Z,TNA,6.45829501725,896,Market On Open,Filled,5786.632335456, 
2008-12-15T16:00:00Z,TNA,5.67932006925,-896,Market,Filled,-5088.670782048,Warning: No quote information available at 12/15/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-12-16T15:00:00Z,TNA,6.045522966,854,Market,Filled,5162.876612964,Warning: No quote information available at 12/16/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-12-16T17:00:00Z,TNA,6.2614345005,380,Market,Filled,2379.34511019,Warning: No quote information available at 12/16/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-12-22T17:00:00Z,TNA,6.48378221925,-846,Market,Filled,-5485.2797574855,Warning: No quote information available at 12/22/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-12-22T20:00:00Z,TNA,5.95812743325,-388,Market,Filled,-2311.753444101,Warning: No quote information available at 12/22/2008 15:00:00 America/New_York, order filled using TradeBar data 
2008-12-26T15:00:00Z,TNA,6.39899918925,832,Market,Filled,5323.967325456,Warning: No quote information available at 12/26/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-12-29T17:00:00Z,TNA,6.0916607055,-832,Market,Filled,-5068.261706976,Warning: No quote information available at 12/29/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-12-30T15:00:00Z,TNA,6.32693361375,814,Market,Filled,5150.1239615925,Warning: No quote information available at 12/30/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-12-30T16:00:00Z,TNA,6.3884013105,372,Market,Filled,2376.485287506,Warning: No quote information available at 12/30/2008 11:00:00 America/New_York, order filled using TradeBar data 
2009-01-07T20:00:00Z,TNA,7.21291627725,-814,Market,Filled,-5871.3138496815,Warning: No quote information available at 01/07/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-01-08T15:00:00Z,TNA,7.21291627725,-372,Market,Filled,-2683.204855137,Warning: No quote information available at 01/08/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-16T15:00:00Z,TNA,5.93269252425,980,Market,Filled,5814.038673765,Warning: No quote information available at 01/16/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-20T18:00:00Z,TNA,5.25866743575,-980,Market,Filled,-5153.494087035,Warning: No quote information available at 01/20/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-01-23T19:00:00Z,TNA,5.21627592075,1031,Market,Filled,5377.9804742933,Warning: No quote information available at 01/23/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-01-26T15:00:00Z,TNA,5.27562404175,469,Market,Filled,2474.2676755808,Warning: No quote information available at 01/26/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-30T15:00:00Z,TNA,5.298939375,-1027,Market,Filled,-5442.010738125,Warning: No quote information available at 01/30/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-01-30T17:00:00Z,TNA,5.08062307275,-473,Market,Filled,-2403.1347134108,Warning: No quote information available at 01/30/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-02-03T20:00:00Z,TNA,5.231112951,1025,Market,Filled,5361.890774775,Warning: No quote information available at 02/03/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-02-04T15:00:00Z,TNA,5.383722405,458,Market,Filled,2465.74486149,Warning: No quote information available at 02/04/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-02-04T21:00:00Z,TNA,5.0149162245,-466,Market On Open,Filled,-2336.950960617, 
2009-02-05T16:00:00Z,TNA,5.25866743575,446,Market,Filled,2345.3656763445,Warning: No quote information available at 02/05/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-02-10T19:00:00Z,TNA,5.222634648,-1001,Market,Filled,-5227.857282648,Warning: No quote information available at 02/10/2009 14:00:00 America/New_York, order filled using TradeBar data 
