Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2009-04-08T15:00:00Z,EDZ,7769.86420275,1,Market,Filled,7769.86420275,Warning: No quote information available at 04/08/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-04-08T16:00:00Z,EDZ,7588.88530725,-1,Market,Filled,-7588.88530725,Warning: No quote information available at 04/08/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-04-20T14:00:00Z,EDZ,7175.5686405,1,Market,Filled,7175.5686405,Warning: No quote information available at 04/20/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-23T19:00:00Z,EDZ,6752.46933075,-1,Market,Filled,-6752.46933075,Warning: No quote information available at 04/23/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-04-27T18:00:00Z,EDZ,7092.416175,1,Market,Filled,7092.416175,Warning: No quote information available at 04/27/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-04-29T14:00:00Z,EDZ,6273.11982375,-1,Market,Filled,-6273.11982375,Warning: No quote information available at 04/29/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-07T15:00:00Z,EDZ,4473.11351175,1,Market,Filled,4473.11351175,Warning: No quote information available at 05/07/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-05-08T17:00:00Z,EDZ,4206.53649,-1,Market,Filled,-4206.53649,Warning: No quote information available at 05/08/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-05-11T14:00:00Z,EDZ,4475.5591725,1,Market,Filled,4475.5591725,Warning: No quote information available at 05/11/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-18T14:00:00Z,EDZ,4218.76479375,-1,Market,Filled,-4218.76479375,Warning: No quote information available at 05/18/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-21T14:00:00Z,EDZ,3959.52475425,1,Market,Filled,3959.52475425,Warning: No quote information available at 05/21/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-27T14:00:00Z,EDZ,3700.28471475,-1,Market,Filled,-3700.28471475,Warning: No quote information available at 05/27/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-27T20:00:00Z,EDZ,3744.30660825,1,Market On Open,Filled,3744.30660825, 
2009-05-28T14:00:00Z,EDZ,3680.71942875,-1,Market,Filled,-3680.71942875,Warning: No quote information available at 05/28/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-03T14:00:00Z,EDZ,3335.881263,1,Market,Filled,3335.881263,Warning: No quote information available at 06/03/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-03T16:00:00Z,EDZ,3414.142407,1,Market,Filled,3414.142407,Warning: No quote information available at 06/03/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-06-10T14:00:00Z,EDZ,3162.23934975,-2,Market,Filled,-6324.4786995,Warning: No quote information available at 06/10/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-10T18:00:00Z,EDZ,3333.43560225,2,Market,Filled,6666.8712045,Warning: No quote information available at 06/10/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-06-11T14:00:00Z,EDZ,3120.663117,-2,Market,Filled,-6241.326234,Warning: No quote information available at 06/11/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-15T14:00:00Z,EDZ,3394.577121,1,Market,Filled,3394.577121,Warning: No quote information available at 06/15/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-24T14:00:00Z,EDZ,3692.9477325,-1,Market,Filled,-3692.9477325,Warning: No quote information available at 06/24/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-30T15:00:00Z,EDZ,3433.707693,1,Market,Filled,3433.707693,Warning: No quote information available at 06/30/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-07-01T14:00:00Z,EDZ,3189.141618,-1,Market,Filled,-3189.141618,Warning: No quote information available at 07/01/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-07-02T14:00:00Z,EDZ,3463.055622,1,Market,Filled,3463.055622,Warning: No quote information available at 07/02/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-07-14T14:00:00Z,EDZ,3661.15414275,-1,Market,Filled,-3661.15414275,Warning: No quote information available at 07/14/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-07-28T15:00:00Z,EDZ,2455.443393,1,Market,Filled,2455.443393,Warning: No quote information available at 07/28/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-07-29T14:00:00Z,EDZ,2550.82416225,1,Market,Filled,2550.82416225,Warning: No quote information available at 07/29/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-07-30T14:00:00Z,EDZ,2345.38865925,-2,Market,Filled,-4690.7773185,Warning: No quote information available at 07/30/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-05T14:00:00Z,EDZ,2240.225247,1,Market,Filled,2240.225247,Warning: No quote information available at 08/05/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-06T16:00:00Z,EDZ,2262.23619375,1,Market,Filled,2262.23619375,Warning: No quote information available at 08/06/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-08-07T18:00:00Z,EDZ,2164.40976375,-1,Market,Filled,-2164.40976375,Warning: No quote information available at 08/07/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-08-10T14:00:00Z,EDZ,2242.67090775,1,Market,Filled,2242.67090775,Warning: No quote information available at 08/10/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-13T15:00:00Z,EDZ,2232.88826475,-2,Market,Filled,-4465.7765295,Warning: No quote information available at 08/13/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-14T15:00:00Z,EDZ,2330.71469475,2,Market,Filled,4661.4293895,Warning: No quote information available at 08/14/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-20T14:00:00Z,EDZ,2352.7256415,-2,Market,Filled,-4705.451283,Warning: No quote information available at 08/20/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-26T14:00:00Z,EDZ,2218.21430025,1,Market,Filled,2218.21430025,Warning: No quote information available at 08/26/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-27T14:00:00Z,EDZ,2279.355819,1,Market,Filled,2279.355819,Warning: No quote information available at 08/27/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-09-03T14:00:00Z,EDZ,2318.486391,-2,Market,Filled,-4636.972782,Warning: No quote information available at 09/03/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-09-14T14:00:00Z,EDZ,1946.745957,2,Market,Filled,3893.491914,Warning: No quote information available at 09/14/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-09-15T15:00:00Z,EDZ,1880.71311675,-2,Market,Filled,-3761.4262335,Warning: No quote information available at 09/15/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-09-21T14:00:00Z,EDZ,1814.6802765,3,Market,Filled,5444.0408295,Warning: No quote information available at 09/21/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-09-21T16:00:00Z,EDZ,1763.32140075,-1,Market,Filled,-1763.32140075,Warning: No quote information available at 09/21/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-09-22T15:00:00Z,EDZ,1709.51686425,-2,Market,Filled,-3419.0337285,Warning: No quote information available at 09/22/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-09-23T20:00:00Z,EDZ,1743.75611475,3,Market On Open,Filled,5231.26834425, 
2009-09-29T14:00:00Z,EDZ,1729.08215025,-2,Market,Filled,-3458.1643005,Warning: No quote information available at 09/29/2009 10:00:00 America/New_York, order filled using TradeBar data 
