Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2018-02-01T15:00:00Z,FNGU,5.756,519,Market,Filled,2987.364,Warning: No quote information available at 02/01/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-02-01T16:00:00Z,FNGU,5.831,1111,Market,Filled,6478.241,Warning: No quote information available at 02/01/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-02-02T15:00:00Z,FNGU,5.383,-1630,Market,Filled,-8774.29,Warning: No quote information available at 02/02/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-02-07T15:00:00Z,FNGU,5.052,1191,Market,Filled,6016.932,Warning: No quote information available at 02/07/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-02-08T15:00:00Z,FNGU,5.303,521,Market,Filled,2762.863,Warning: No quote information available at 02/08/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-02-08T18:00:00Z,FNGU,4.669,-533,Market,Filled,-2488.577,Warning: No quote information available at 02/08/2018 13:00:00 America/New_York, order filled using TradeBar data 
2018-02-08T21:00:00Z,FNGU,4.779,-1179,Market On Open,Filled,-5634.441, 
2018-02-12T15:00:00Z,FNGU,4.85,1681,Market,Filled,8152.85,Warning: No quote information available at 02/12/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-02-28T17:00:00Z,FNGU,6.097,-1156,Market,Filled,-7048.132,Warning: No quote information available at 02/28/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-03-01T15:00:00Z,FNGU,5.826,-525,Market,Filled,-3058.65,Warning: No quote information available at 03/01/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-03-05T16:00:00Z,FNGU,6.035,1133,Market,Filled,6837.655,Warning: No quote information available at 03/05/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-03-05T17:00:00Z,FNGU,6.129,514,Market,Filled,3150.306,Warning: No quote information available at 03/05/2018 12:00:00 America/New_York, order filled using TradeBar data 
2018-03-13T19:00:00Z,FNGU,6.668,-1130,Market,Filled,-7534.84,Warning: No quote information available at 03/13/2018 15:00:00 America/New_York, order filled using TradeBar data 
2018-03-14T15:00:00Z,FNGU,6.921,1080,Market,Filled,7474.68,Warning: No quote information available at 03/14/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-03-15T18:00:00Z,FNGU,6.755,-1093,Market,Filled,-7383.215,Warning: No quote information available at 03/15/2018 14:00:00 America/New_York, order filled using TradeBar data 
2018-03-15T20:00:00Z,FNGU,6.95,1068,Market On Open,Filled,7422.6, 
2018-03-19T14:00:00Z,FNGU,6.507,-1572,Market,Filled,-10229.004,Warning: No quote information available at 03/19/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-03-26T20:00:00Z,FNGU,5.788,1236,Market On Open,Filled,7153.968, 
2018-03-27T18:00:00Z,FNGU,5.09,-1236,Market,Filled,-6291.24,Warning: No quote information available at 03/27/2018 14:00:00 America/New_York, order filled using TradeBar data 
2018-04-04T20:00:00Z,FNGU,4.759,2069,Market On Open,Filled,9846.371, 
2018-04-16T14:00:00Z,FNGU,4.8,-1448,Market,Filled,-6950.4,Warning: No quote information available at 04/16/2018 10:00:00 America/New_York, order filled using TradeBar data 
