Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2017-06-01T14:00:00Z,UTSL,25.34329096,373,Market,Filled,9453.04752808,Warning: No quote information available at 06/01/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-06-07T14:00:00Z,UTSL,25.780551966,-256,Market,Filled,-6599.821303296,Warning: No quote information available at 06/07/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-06-08T15:00:00Z,UTSL,25.146969692,-117,Market,Filled,-2942.195453964,Warning: No quote information available at 06/08/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-06-14T14:00:00Z,UTSL,25.8787126,369,Market,Filled,9549.2449494,Warning: No quote information available at 06/14/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-06-15T14:00:00Z,UTSL,25.057732752,-369,Market,Filled,-9246.303385488,Warning: No quote information available at 06/15/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-06-16T14:00:00Z,UTSL,26.021491704,356,Market,Filled,9263.651046624,Warning: No quote information available at 06/16/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-06-21T14:00:00Z,UTSL,25.450375288,-356,Market,Filled,-9060.333602528,Warning: No quote information available at 06/21/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-06-26T18:00:00Z,UTSL,25.646696556,241,Market,Filled,6180.853869996,Warning: No quote information available at 06/26/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-06-27T16:00:00Z,UTSL,25.12019861,-241,Market,Filled,-6053.96786501,Warning: No quote information available at 06/27/2017 12:00:00 America/New_York, order filled using TradeBar data 
2017-07-03T14:00:00Z,UTSL,23.763797122,257,Market,Filled,6107.295860354,Warning: No quote information available at 06/30/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-07-05T14:00:00Z,UTSL,22.603716902,-257,Market,Filled,-5809.155243814,Warning: No quote information available at 07/05/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-07-10T14:00:00Z,UTSL,22.657259066,261,Market,Filled,5913.544616226,Warning: No quote information available at 07/07/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-07-11T16:00:00Z,UTSL,22.309235,-261,Market,Filled,-5822.710335,Warning: No quote information available at 07/11/2017 12:00:00 America/New_York, order filled using TradeBar data 
2017-07-14T14:00:00Z,UTSL,22.987435744,372,Market,Filled,8551.326096768,Warning: No quote information available at 07/14/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-07-25T18:00:00Z,UTSL,24.013660554,-255,Market,Filled,-6123.48344127,Warning: No quote information available at 07/25/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-07-27T14:00:00Z,UTSL,24.201058128,252,Market,Filled,6098.666648256,Warning: No quote information available at 07/26/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-08-10T14:00:00Z,UTSL,25.575307004,-369,Market,Filled,-9437.288284476,Warning: No quote information available at 08/10/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-08-10T19:00:00Z,UTSL,26.110728644,361,Market,Filled,9425.973040484,Warning: No quote information available at 08/10/2017 15:00:00 America/New_York, order filled using TradeBar data 
2017-08-11T20:00:00Z,UTSL,26.396286852,-361,Market On Open,Filled,-9529.059553572, 
2017-08-15T20:00:00Z,UTSL,26.41413424,360,Market On Open,Filled,9509.0883264, 
2017-08-21T14:00:00Z,UTSL,26.387363158,-247,Market,Filled,-6517.678700026,Warning: No quote information available at 08/18/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-08-22T14:00:00Z,UTSL,26.833547858,243,Market,Filled,6520.552129494,Warning: No quote information available at 08/22/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-08-30T18:00:00Z,UTSL,27.44035905,-244,Market,Filled,-6695.4476082,Warning: No quote information available at 08/30/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-08-31T14:00:00Z,UTSL,27.2172667,-112,Market,Filled,-3048.3338704,Warning: No quote information available at 08/31/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-09-12T14:00:00Z,UTSL,28.136407182,346,Market,Filled,9735.196884972,Warning: No quote information available at 09/12/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-09-13T20:00:00Z,UTSL,27.17264823,-346,Market On Open,Filled,-9401.73628758, 
2017-09-14T17:00:00Z,UTSL,27.17264823,346,Market,Filled,9401.73628758,Warning: No quote information available at 09/14/2017 13:00:00 America/New_York, order filled using TradeBar data 
2017-09-18T17:00:00Z,UTSL,26.690768754,-346,Market,Filled,-9235.005988884,Warning: No quote information available at 09/18/2017 13:00:00 America/New_York, order filled using TradeBar data 
2017-10-06T16:00:00Z,UTSL,25.414680512,364,Market,Filled,9250.943706368,Warning: No quote information available at 10/06/2017 12:00:00 America/New_York, order filled using TradeBar data 
2017-10-16T15:00:00Z,UTSL,26.030415398,-250,Market,Filled,-6507.6038495,Warning: No quote information available at 10/16/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-10-16T20:00:00Z,UTSL,25.914407376,-114,Market On Open,Filled,-2954.242440864, 
2017-10-18T14:00:00Z,UTSL,26.59260812,355,Market,Filled,9440.3758826,Warning: No quote information available at 10/18/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-10-25T14:00:00Z,UTSL,26.485523792,-355,Market,Filled,-9402.36094616,Warning: No quote information available at 10/25/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-10-26T14:00:00Z,UTSL,27.725917258,339,Market,Filled,9399.085950462,Warning: No quote information available at 10/26/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-11-01T16:00:00Z,UTSL,27.422511662,-232,Market,Filled,-6362.022705584,Warning: No quote information available at 11/01/2017 12:00:00 America/New_York, order filled using TradeBar data 
2017-11-02T14:00:00Z,UTSL,27.377893192,-107,Market,Filled,-2929.434571544,Warning: No quote information available at 11/01/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-11-03T18:00:00Z,UTSL,28.127483488,330,Market,Filled,9282.06955104,Warning: No quote information available at 11/03/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-11-17T15:00:00Z,UTSL,29.09124244,-330,Market,Filled,-9600.1100052,Warning: No quote information available at 11/17/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-11-22T15:00:00Z,UTSL,29.010929194,226,Market,Filled,6556.469997844,Warning: No quote information available at 11/22/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-11-27T15:00:00Z,UTSL,29.207250462,104,Market,Filled,3037.554048048,Warning: No quote information available at 11/27/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-12-01T19:00:00Z,UTSL,29.421419118,-226,Market,Filled,-6649.240720668,Warning: No quote information available at 12/01/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-12-05T15:00:00Z,UTSL,28.073941324,-104,Market,Filled,-2919.689897696,Warning: No quote information available at 12/05/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-12-08T15:00:00Z,UTSL,28.181025652,232,Market,Filled,6537.997951264,Warning: No quote information available at 12/07/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-12-11T15:00:00Z,UTSL,28.564744494,106,Market,Filled,3027.862916364,Warning: No quote information available at 12/08/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-12-12T19:00:00Z,UTSL,28.189949346,-232,Market,Filled,-6540.068248272,Warning: No quote information available at 12/12/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-12-12T20:00:00Z,UTSL,28.136407182,-106,Market,Filled,-2982.459161292,Warning: No quote information available at 12/12/2017 15:00:00 America/New_York, order filled using TradeBar data 
2017-12-15T15:00:00Z,UTSL,27.984704384,233,Market,Filled,6520.436121472,Warning: No quote information available at 12/14/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-12-18T15:00:00Z,UTSL,28.15425457,106,Market,Filled,2984.35098442,Warning: No quote information available at 12/18/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-12-18T16:00:00Z,UTSL,27.511748602,-339,Market,Filled,-9326.482776078,Warning: No quote information available at 12/18/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-12-26T16:00:00Z,UTSL,24.75910992,258,Market,Filled,6387.85035936,Warning: No quote information available at 12/26/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-12-26T19:00:00Z,UTSL,24.454106392,-258,Market,Filled,-6309.159449136,Warning: No quote information available at 12/26/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-12-27T17:00:00Z,UTSL,24.2208684,262,Market,Filled,6345.8675208,Warning: No quote information available at 12/27/2017 12:00:00 America/New_York, order filled using TradeBar data 
2017-12-28T20:00:00Z,UTSL,24.427194316,120,Market,Filled,2931.26331792,Warning: No quote information available at 12/28/2017 15:00:00 America/New_York, order filled using TradeBar data 
2018-01-02T15:00:00Z,UTSL,24.005571792,-382,Market,Filled,-9170.128424544,Warning: No quote information available at 01/02/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-01-08T16:00:00Z,UTSL,23.072619824,272,Market,Filled,6275.752592128,Warning: No quote information available at 01/08/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-01-09T15:00:00Z,UTSL,22.642026608,-272,Market,Filled,-6158.631237376,Warning: No quote information available at 01/09/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-01-16T15:00:00Z,UTSL,21.727016024,285,Market,Filled,6192.19956684,Warning: No quote information available at 01/16/2018 10:00:00 America/New_York, order filled using TradeBar data 
2018-01-16T16:00:00Z,UTSL,20.892741668,-285,Market,Filled,-5954.43137538,Warning: No quote information available at 01/16/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-01-17T16:00:00Z,UTSL,21.475836648,281,Market,Filled,6034.710098088,Warning: No quote information available at 01/17/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-01-18T16:00:00Z,UTSL,20.94656582,-281,Market,Filled,-5885.98499542,Warning: No quote information available at 01/18/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-01-18T20:00:00Z,UTSL,21.48480734,276,Market,Filled,5929.80682584,Warning: No quote information available at 01/18/2018 15:00:00 America/New_York, order filled using TradeBar data 
2018-01-18T21:00:00Z,UTSL,21.152891736,-276,Market On Open,Filled,-5838.198119136, 
2018-01-19T16:00:00Z,UTSL,21.26054004,276,Market,Filled,5867.90905104,Warning: No quote information available at 01/19/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-01-19T21:00:00Z,UTSL,20.94656582,-276,Market On Open,Filled,-5781.25216632, 
2018-01-22T16:00:00Z,UTSL,21.493778032,396,Market,Filled,8511.536100672,Warning: No quote information available at 01/22/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-02-02T15:00:00Z,UTSL,21.009360664,-396,Market,Filled,-8319.706822944,Warning: No quote information available at 02/02/2018 10:00:00 America/New_York, order filled using TradeBar data 
