Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2015-04-29T15:00:00Z,SQQQ,9161.821998,1,Market,Filled,9161.821998,Warning: No quote information available at 04/29/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-05-04T14:00:00Z,SQQQ,9038.8960844,-1,Market,Filled,-9038.8960844,Warning: No quote information available at 05/04/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-05-26T14:00:00Z,SQQQ,9069.6275628,1,Market,Filled,9069.6275628,Warning: No quote information available at 05/26/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-05-27T18:00:00Z,SQQQ,8789.2028224,-1,Market,Filled,-8789.2028224,Warning: No quote information available at 05/27/2015 14:00:00 America/New_York, order filled using TradeBar data 
2015-05-29T15:00:00Z,SQQQ,8950.543084,1,Market,Filled,8950.543084,Warning: No quote information available at 05/29/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-06-03T15:00:00Z,SQQQ,8754.6299092,-1,Market,Filled,-8754.6299092,Warning: No quote information available at 06/03/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-06-25T18:00:00Z,SQQQ,8758.471344,1,Market,Filled,8758.471344,Warning: No quote information available at 06/25/2015 14:00:00 America/New_York, order filled using TradeBar data 
2015-07-10T16:00:00Z,SQQQ,9330.8451292,-1,Market,Filled,-9330.8451292,Warning: No quote information available at 07/10/2015 12:00:00 America/New_York, order filled using TradeBar data 
2015-07-23T14:00:00Z,SQQQ,8105.427428,1,Market,Filled,8105.427428,Warning: No quote information available at 07/23/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-07-29T19:00:00Z,SQQQ,8309.0234724,-1,Market,Filled,-8309.0234724,Warning: No quote information available at 07/29/2015 15:00:00 America/New_York, order filled using TradeBar data 
2015-07-30T14:00:00Z,SQQQ,8524.1438212,1,Market,Filled,8524.1438212,Warning: No quote information available at 07/30/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-07-30T16:00:00Z,SQQQ,8297.499168,-1,Market,Filled,-8297.499168,Warning: No quote information available at 07/30/2015 12:00:00 America/New_York, order filled using TradeBar data 
2015-08-03T17:00:00Z,SQQQ,8447.3151252,1,Market,Filled,8447.3151252,Warning: No quote information available at 08/03/2015 13:00:00 America/New_York, order filled using TradeBar data 
