Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2015-09-02T20:00:00Z,NAIL,31.867881081,96,Market On Open,Filled,3059.316583776, 
2015-10-26T15:00:00Z,NAIL,29.892721014,-254,Market,Filled,-7592.751137556,Warning: No quote information available at 10/26/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-10-28T20:00:00Z,NAIL,28.281147626,177,Market On Open,Filled,5005.763129802, 
2015-10-29T14:00:00Z,NAIL,28.281147626,-177,Market,Filled,-5005.763129802,Warning: No quote information available at 10/29/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-10-30T14:00:00Z,NAIL,28.79213431,180,Market,Filled,5182.5841758,Warning: No quote information available at 10/30/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-11-02T20:00:00Z,NAIL,29.303120994,82,Market,Filled,2402.855921508,Warning: No quote information available at 11/02/2015 15:00:00 America/New_York, order filled using TradeBar data 
2015-11-06T15:00:00Z,NAIL,29.18520099,-180,Market,Filled,-5253.3361782,Warning: No quote information available at 11/04/2015 16:00:00 America/New_York, order filled using TradeBar data 
2015-11-09T16:00:00Z,NAIL,27.21986759,-82,Market,Filled,-2232.02914238,Warning: No quote information available at 11/09/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-11-11T15:00:00Z,NAIL,29.853414346,251,Market,Filled,7493.207000846,Warning: No quote information available at 11/11/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-11-13T21:00:00Z,NAIL,29.725667675,-251,Market On Open,Filled,-7461.142586425, 
2015-11-17T16:00:00Z,NAIL,29.725667675,251,Market,Filled,7461.142586425,Warning: No quote information available at 11/17/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-12-03T15:00:00Z,NAIL,32.437827767,-172,Market,Filled,-5579.306375924,Warning: No quote information available at 12/02/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-12-03T16:00:00Z,NAIL,31.74013441,-79,Market,Filled,-2507.47061839,Warning: No quote information available at 12/03/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-12-04T16:00:00Z,NAIL,31.966147751,172,Market,Filled,5498.177413172,Warning: No quote information available at 12/04/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-12-08T15:00:00Z,NAIL,31.966147751,80,Market,Filled,2557.29182008,Warning: No quote information available at 12/04/2015 16:00:00 America/New_York, order filled using TradeBar data 
2015-12-09T15:00:00Z,NAIL,28.212360957,-252,Market,Filled,-7109.514961164,Warning: No quote information available at 12/09/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-12-16T15:00:00Z,NAIL,27.90773428,175,Market,Filled,4883.853499,Warning: No quote information available at 12/15/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-12-16T20:00:00Z,NAIL,28.79213431,79,Market,Filled,2274.57861049,Warning: No quote information available at 12/16/2015 15:00:00 America/New_York, order filled using TradeBar data 
2015-12-18T21:00:00Z,NAIL,30.501974368,-254,Market On Open,Filled,-7747.501489472, 
2015-12-24T15:00:00Z,NAIL,28.674214306,269,Market,Filled,7713.363648314,Warning: No quote information available at 12/24/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-12-30T15:00:00Z,NAIL,27.976520949,-184,Market,Filled,-5147.679854616,Warning: No quote information available at 12/28/2015 16:00:00 America/New_York, order filled using TradeBar data 
2015-12-30T19:00:00Z,NAIL,28.408894297,181,Market,Filled,5142.009867757,Warning: No quote information available at 12/30/2015 14:00:00 America/New_York, order filled using TradeBar data 
2016-01-04T15:00:00Z,NAIL,26.512347566,-266,Market,Filled,-7052.284452556,Warning: No quote information available at 01/04/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-12T15:00:00Z,NAIL,19.899000675,244,Market,Filled,4855.3561647,Warning: No quote information available at 01/12/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-12T19:00:00Z,NAIL,19.329053989,-244,Market,Filled,-4716.289173316,Warning: No quote information available at 01/12/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-01-13T15:00:00Z,NAIL,20.53773403,339,Market,Filled,6962.29183617,Warning: No quote information available at 01/13/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-13T20:00:00Z,NAIL,18.926160642,-107,Market,Filled,-2025.099188694,Warning: No quote information available at 01/13/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-01-15T15:00:00Z,NAIL,16.813427237,-232,Market,Filled,-3900.715118984,Warning: No quote information available at 01/15/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-21T19:00:00Z,NAIL,17.570080596,232,Market,Filled,4076.258698272,Warning: No quote information available at 01/21/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-01-22T15:00:00Z,NAIL,18.631360632,101,Market,Filled,1881.767423832,Warning: No quote information available at 01/22/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-26T15:00:00Z,NAIL,17.245800585,-228,Market,Filled,-3932.04253338,Warning: No quote information available at 01/25/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-01-27T15:00:00Z,NAIL,18.366040623,215,Market,Filled,3948.698733945,Warning: No quote information available at 01/27/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-04T15:00:00Z,NAIL,16.862560572,-320,Market,Filled,-5396.01938304,Warning: No quote information available at 02/04/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T15:00:00Z,NAIL,14.946360507,362,Market,Filled,5410.582503534,Warning: No quote information available at 02/12/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-08T15:00:00Z,NAIL,21.333694057,-250,Market,Filled,-5333.42351425,Warning: No quote information available at 03/04/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-03-10T15:00:00Z,NAIL,21.255080721,-112,Market,Filled,-2380.569040752,Warning: No quote information available at 03/09/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-03-11T21:00:00Z,NAIL,22.11000075,339,Market On Open,Filled,7495.29025425, 
2016-03-17T14:00:00Z,NAIL,22.051040748,-231,Market,Filled,-5093.790412788,Warning: No quote information available at 03/16/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-03-17T15:00:00Z,NAIL,23.112320784,224,Market,Filled,5177.159855616,Warning: No quote information available at 03/17/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-23T14:00:00Z,NAIL,24.07533415,-228,Market,Filled,-5489.1761862,Warning: No quote information available at 03/23/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-24T14:00:00Z,NAIL,23.692094137,-104,Market,Filled,-2463.977790248,Warning: No quote information available at 03/23/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-03-28T18:00:00Z,NAIL,23.947587479,227,Market,Filled,5436.102357733,Warning: No quote information available at 03/28/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-03-29T14:00:00Z,NAIL,23.947587479,105,Market,Filled,2514.496685295,Warning: No quote information available at 03/28/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-04-05T19:00:00Z,NAIL,24.95973418,-228,Market,Filled,-5690.81939304,Warning: No quote information available at 04/05/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-04-06T14:00:00Z,NAIL,24.95973418,-104,Market,Filled,-2595.81235472,Warning: No quote information available at 04/05/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-04-06T18:00:00Z,NAIL,26.188067555,315,Market,Filled,8249.241279825,Warning: No quote information available at 04/06/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-04-20T14:00:00Z,NAIL,27.485187599,-216,Market,Filled,-5936.800521384,Warning: No quote information available at 04/19/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-04-20T19:00:00Z,NAIL,28.634907638,207,Market,Filled,5927.425881066,Warning: No quote information available at 04/20/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-04-21T19:00:00Z,NAIL,27.465534265,-210,Market,Filled,-5767.76219565,Warning: No quote information available at 04/21/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-04-22T14:00:00Z,NAIL,27.465534265,-96,Market,Filled,-2636.69128944,Warning: No quote information available at 04/21/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-04-26T16:00:00Z,NAIL,27.386920929,210,Market,Filled,5751.25339509,Warning: No quote information available at 04/26/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-04-28T14:00:00Z,NAIL,27.386920929,97,Market,Filled,2656.531330113,Warning: No quote information available at 04/26/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-04-28T20:00:00Z,NAIL,23.87880081,-307,Market On Open,Filled,-7330.79184867, 
2016-05-05T14:00:00Z,NAIL,23.68226747,213,Market,Filled,5044.32297111,Warning: No quote information available at 05/04/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-05-05T19:00:00Z,NAIL,23.023880781,-213,Market,Filled,-4904.086606353,Warning: No quote information available at 05/05/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-05-06T14:00:00Z,NAIL,23.662614136,306,Market,Filled,7240.759925616,Warning: No quote information available at 05/06/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-05-13T14:00:00Z,NAIL,22.434280761,-306,Market,Filled,-6864.889912866,Warning: No quote information available at 05/13/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-05-16T16:00:00Z,NAIL,23.603654134,292,Market,Filled,6892.267007128,Warning: No quote information available at 05/16/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-05-19T20:00:00Z,NAIL,22.79786744,-292,Market On Open,Filled,-6656.97729248, 
2016-05-23T20:00:00Z,NAIL,25.853960877,280,Market On Open,Filled,7239.10904556, 
2016-05-31T14:00:00Z,NAIL,26.099627552,-199,Market,Filled,-5193.825882848,Warning: No quote information available at 05/27/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-05-31T15:00:00Z,NAIL,26.82680091,172,Market,Filled,4614.20975652,Warning: No quote information available at 05/31/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-06-02T15:00:00Z,NAIL,26.119280886,-253,Market,Filled,-6608.178064158,Warning: No quote information available at 06/02/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-06-06T20:00:00Z,NAIL,27.406574263,248,Market On Open,Filled,6796.830417224, 
2016-06-10T16:00:00Z,NAIL,26.767840908,-248,Market,Filled,-6638.424545184,Warning: No quote information available at 06/10/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-06-16T14:00:00Z,NAIL,25.116960852,176,Market,Filled,4420.585109952,Warning: No quote information available at 06/15/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-06-16T15:00:00Z,NAIL,24.291520824,-176,Market,Filled,-4275.307665024,Warning: No quote information available at 06/16/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-06-16T20:00:00Z,NAIL,25.274187524,171,Market On Open,Filled,4321.886066604, 
2016-06-20T14:00:00Z,NAIL,25.274187524,79,Market,Filled,1996.660814396,Warning: No quote information available at 06/17/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-06-24T14:00:00Z,NAIL,23.908280811,-250,Market,Filled,-5977.07020275,Warning: No quote information available at 06/24/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-06-29T14:00:00Z,NAIL,23.574174133,174,Market,Filled,4101.906299142,Warning: No quote information available at 06/28/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-06-29T16:00:00Z,NAIL,24.5666675,76,Market,Filled,1867.06673,Warning: No quote information available at 06/29/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-07-13T19:00:00Z,NAIL,30.944174383,-172,Market,Filled,-5322.397993876,Warning: No quote information available at 07/13/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-07-15T15:00:00Z,NAIL,30.777121044,-78,Market,Filled,-2400.615441432,Warning: No quote information available at 07/15/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-07-18T15:00:00Z,NAIL,31.24880106,167,Market,Filled,5218.54977702,Warning: No quote information available at 07/18/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-07-19T20:00:00Z,NAIL,31.749961077,77,Market On Open,Filled,2444.747002929, 
2016-07-21T19:00:00Z,NAIL,31.022787719,-167,Market,Filled,-5180.805549073,Warning: No quote information available at 07/21/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-07-22T15:00:00Z,NAIL,31.848227747,162,Market,Filled,5159.412895014,Warning: No quote information available at 07/22/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-07-29T14:00:00Z,NAIL,32.32973443,-164,Market,Filled,-5302.07644652,Warning: No quote information available at 07/28/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-07-29T19:00:00Z,NAIL,30.875387714,-75,Market,Filled,-2315.65407855,Warning: No quote information available at 07/29/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-08-05T14:00:00Z,NAIL,29.116414321,179,Market,Filled,5211.838163459,Warning: No quote information available at 08/04/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-08-05T15:00:00Z,NAIL,30.236654359,79,Market,Filled,2388.695694361,Warning: No quote information available at 08/05/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-08-11T14:00:00Z,NAIL,29.725667675,-177,Market,Filled,-5261.443178475,Warning: No quote information available at 08/10/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-08-12T14:00:00Z,NAIL,28.39906763,-81,Market,Filled,-2300.32447803,Warning: No quote information available at 08/12/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-08-12T20:00:00Z,NAIL,30.059774353,174,Market On Open,Filled,5230.400737422, 
2016-08-15T14:00:00Z,NAIL,30.059774353,78,Market,Filled,2344.662399534,Warning: No quote information available at 08/15/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-08-17T18:00:00Z,NAIL,28.408894297,-252,Market,Filled,-7159.041362844,Warning: No quote information available at 08/17/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-08-18T19:00:00Z,NAIL,29.538961002,166,Market,Filled,4903.467526332,Warning: No quote information available at 08/18/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-08-19T14:00:00Z,NAIL,30.138387689,75,Market,Filled,2260.379076675,Warning: No quote information available at 08/19/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-08-25T14:00:00Z,NAIL,29.588094337,-165,Market,Filled,-4882.035565605,Warning: No quote information available at 08/25/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-08-25T15:00:00Z,NAIL,30.737814376,159,Market,Filled,4887.312485784,Warning: No quote information available at 08/25/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-08-26T20:00:00Z,NAIL,29.57826767,-235,Market On Open,Filled,-6950.89290245, 
2016-08-30T17:00:00Z,NAIL,30.285787694,157,Market,Filled,4754.868667958,Warning: No quote information available at 08/30/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-08-30T18:00:00Z,NAIL,30.521627702,72,Market,Filled,2197.557194544,Warning: No quote information available at 08/30/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-08-31T16:00:00Z,NAIL,29.755147676,-72,Market,Filled,-2142.370632672,Warning: No quote information available at 08/31/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-09-07T14:00:00Z,NAIL,29.794454344,-157,Market,Filled,-4677.729332008,Warning: No quote information available at 09/06/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-09-07T17:00:00Z,NAIL,30.344747696,225,Market,Filled,6827.5682316,Warning: No quote information available at 09/07/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-09-09T14:00:00Z,NAIL,27.917560947,-225,Market,Filled,-6281.451213075,Warning: No quote information available at 09/09/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-09-14T14:00:00Z,NAIL,27.544147601,157,Market,Filled,4324.431173357,Warning: No quote information available at 09/13/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-09-16T14:00:00Z,NAIL,27.544147601,72,Market,Filled,1983.178627272,Warning: No quote information available at 09/13/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-09-16T17:00:00Z,NAIL,25.048174183,-229,Market,Filled,-5736.031887907,Warning: No quote information available at 09/16/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-09-19T15:00:00Z,NAIL,26.797320909,147,Market,Filled,3939.206173623,Warning: No quote information available at 09/19/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-09-19T17:00:00Z,NAIL,26.482867565,-147,Market,Filled,-3892.981532055,Warning: No quote information available at 09/19/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-09-22T14:00:00Z,NAIL,25.932574213,221,Market,Filled,5731.098901073,Warning: No quote information available at 09/22/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-09-26T14:00:00Z,NAIL,24.871294177,-221,Market,Filled,-5496.556013117,Warning: No quote information available at 09/26/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-09-27T14:00:00Z,NAIL,25.5493342,68,Market,Filled,1737.3547256,Warning: No quote information available at 09/27/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-09-27T17:00:00Z,NAIL,25.893267545,145,Market,Filled,3754.523794025,Warning: No quote information available at 09/27/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-09-28T17:00:00Z,NAIL,25.441240863,-146,Market,Filled,-3714.421165998,Warning: No quote information available at 09/28/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-09-28T20:00:00Z,NAIL,25.64760087,144,Market On Open,Filled,3693.25452528, 
2016-10-03T14:00:00Z,NAIL,25.35280086,-211,Market,Filled,-5349.44098146,Warning: No quote information available at 10/03/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-10-05T17:00:00Z,NAIL,26.030840883,207,Market,Filled,5388.384062781,Warning: No quote information available at 10/05/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-10-07T20:00:00Z,NAIL,24.86146751,-207,Market On Open,Filled,-5146.32377457, 
2016-10-19T19:00:00Z,NAIL,24.242387489,213,Market,Filled,5163.628535157,Warning: No quote information available at 10/19/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-10-21T14:00:00Z,NAIL,22.89613411,-213,Market,Filled,-4876.87656543,Warning: No quote information available at 10/21/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-10-31T14:00:00Z,NAIL,21.12733405,158,Market,Filled,3338.1187799,Warning: No quote information available at 10/28/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-11-02T20:00:00Z,NAIL,18.6706673,-158,Market On Open,Filled,-2949.9654334, 
2016-11-04T15:00:00Z,NAIL,20.429640693,221,Market,Filled,4514.950593153,Warning: No quote information available at 11/04/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-11-09T16:00:00Z,NAIL,19.761427337,-152,Market,Filled,-3003.736955224,Warning: No quote information available at 11/09/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-11-09T17:00:00Z,NAIL,21.117507383,142,Market,Filled,2998.686048386,Warning: No quote information available at 11/09/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-11-23T15:00:00Z,NAIL,24.576494167,-145,Market,Filled,-3563.591654215,Warning: No quote information available at 11/23/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-11-23T16:00:00Z,NAIL,25.559160867,138,Market,Filled,3527.164199646,Warning: No quote information available at 11/23/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-11-30T16:00:00Z,NAIL,25.225054189,-204,Market,Filled,-5145.911054556,Warning: No quote information available at 11/30/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-12-05T15:00:00Z,NAIL,24.773027507,142,Market,Filled,3517.769905994,Warning: No quote information available at 12/05/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-06T15:00:00Z,NAIL,24.871294177,65,Market,Filled,1616.634121505,Warning: No quote information available at 12/06/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-14T16:00:00Z,NAIL,27.180560922,-207,Market,Filled,-5626.376110854,Warning: No quote information available at 12/14/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-12-19T15:00:00Z,NAIL,27.5146676,204,Market,Filled,5612.9921904,Warning: No quote information available at 12/19/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-19T20:00:00Z,NAIL,26.807147576,-65,Market,Filled,-1742.46459244,Warning: No quote information available at 12/19/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-12-21T15:00:00Z,NAIL,27.12160092,64,Market,Filled,1735.78245888,Warning: No quote information available at 12/21/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-22T15:00:00Z,NAIL,26.610614236,-139,Market,Filled,-3698.875378804,Warning: No quote information available at 12/22/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-23T15:00:00Z,NAIL,26.43373423,-64,Market,Filled,-1691.75899072,Warning: No quote information available at 12/22/2016 16:00:00 America/New_York, order filled using TradeBar data 
2016-12-27T21:00:00Z,NAIL,26.04066755,202,Market On Open,Filled,5260.2148451, 
2016-12-28T17:00:00Z,NAIL,26.04066755,-60,Market,Filled,-1562.440053,Warning: No quote information available at 12/28/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-12-29T15:00:00Z,NAIL,25.824480876,-142,Market,Filled,-3667.076284392,Warning: No quote information available at 12/29/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-12-29T21:00:00Z,NAIL,25.008867515,139,Market On Open,Filled,3476.232584585, 
2016-12-30T15:00:00Z,NAIL,25.008867515,-139,Market,Filled,-3476.232584585,Warning: No quote information available at 12/30/2016 10:00:00 America/New_York, order filled using TradeBar data 
2017-01-04T21:00:00Z,NAIL,27.642414271,195,Market On Open,Filled,5390.270782845, 
2017-01-09T15:00:00Z,NAIL,25.578814201,-134,Market,Filled,-3427.561102934,Warning: No quote information available at 01/06/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-01-09T19:00:00Z,NAIL,25.342974193,-61,Market,Filled,-1545.921425773,Warning: No quote information available at 01/09/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-01-10T21:00:00Z,NAIL,24.851640843,130,Market On Open,Filled,3230.71330959, 
2017-01-12T15:00:00Z,NAIL,26.089800885,66,Market,Filled,1721.92685841,Warning: No quote information available at 01/11/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-01-19T19:00:00Z,NAIL,25.519854199,-196,Market,Filled,-5001.891423004,Warning: No quote information available at 01/19/2017 14:00:00 America/New_York, order filled using TradeBar data 
2017-01-24T15:00:00Z,NAIL,26.944720914,186,Market,Filled,5011.718090004,Warning: No quote information available at 01/24/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-01-30T15:00:00Z,NAIL,28.526814301,-186,Market,Filled,-5305.987459986,Warning: No quote information available at 01/30/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-02-01T15:00:00Z,NAIL,29.165547656,124,Market,Filled,3616.527909344,Warning: No quote information available at 02/01/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-02-01T16:00:00Z,NAIL,28.811787644,-124,Market,Filled,-3572.661667856,Warning: No quote information available at 02/01/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-02-02T16:00:00Z,NAIL,28.959187649,124,Market,Filled,3590.939268476,Warning: No quote information available at 02/02/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-02-03T15:00:00Z,NAIL,29.480001,56,Market,Filled,1650.880056,Warning: No quote information available at 02/03/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-02-03T20:00:00Z,NAIL,28.674214306,-57,Market,Filled,-1634.430215442,Warning: No quote information available at 02/03/2017 15:00:00 America/New_York, order filled using TradeBar data 
2017-02-06T16:00:00Z,NAIL,29.204854324,56,Market,Filled,1635.471842144,Warning: No quote information available at 02/06/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-02-07T18:00:00Z,NAIL,28.438374298,-179,Market,Filled,-5090.468999342,Warning: No quote information available at 02/07/2017 13:00:00 America/New_York, order filled using TradeBar data 
2017-02-09T17:00:00Z,NAIL,29.037800985,175,Market,Filled,5081.615172375,Warning: No quote information available at 02/09/2017 12:00:00 America/New_York, order filled using TradeBar data 
2017-02-14T21:00:00Z,NAIL,30.452841033,-120,Market On Open,Filled,-3654.34092396, 
2017-02-15T21:00:00Z,NAIL,32.182334425,117,Market On Open,Filled,3765.333127725, 
2017-03-07T15:00:00Z,NAIL,35.17946786,-119,Market,Filled,-4186.35667534,Warning: No quote information available at 03/07/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-03-08T15:00:00Z,NAIL,36.407801235,111,Market,Filled,4041.265937085,Warning: No quote information available at 03/08/2017 10:00:00 America/New_York, order filled using TradeBar data 
