Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2015-09-02T20:00:00Z,NAIL,31.867881081,96,Market On Open,Filled,3059.316583776, 
2015-09-03T14:00:00Z,NAIL,32.496787769,197,Market,Filled,6401.867190493,Warning: No quote information available at 09/03/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-09-08T14:00:00Z,NAIL,29.804281011,-293,Market,Filled,-8732.654336223,Warning: No quote information available at 09/08/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-09-08T20:00:00Z,NAIL,34.3933345,278,Market On Open,Filled,9561.346991, 
2015-09-18T20:00:00Z,NAIL,32.378867765,-278,Market On Open,Filled,-9001.32523867, 
2015-09-21T14:00:00Z,NAIL,32.938987784,171,Market,Filled,5632.566911064,Warning: No quote information available at 09/21/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-09-21T20:00:00Z,NAIL,30.924521049,-171,Market On Open,Filled,-5288.093099379, 
2015-09-25T19:00:00Z,NAIL,30.570761037,258,Market,Filled,7887.256347546,Warning: No quote information available at 09/25/2015 15:00:00 America/New_York, order filled using TradeBar data 
2015-09-28T15:00:00Z,NAIL,27.5146676,-258,Market,Filled,-7098.7842408,Warning: No quote information available at 09/28/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-10-01T14:00:00Z,NAIL,25.726214206,190,Market,Filled,4887.98069914,Warning: No quote information available at 10/01/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-10-02T20:00:00Z,NAIL,28.752827642,83,Market On Open,Filled,2386.484694286, 
2015-10-14T15:00:00Z,NAIL,28.20253429,-273,Market,Filled,-7699.29186117,Warning: No quote information available at 10/14/2015 11:00:00 America/New_York, order filled using TradeBar data 
2015-10-16T16:00:00Z,NAIL,29.391560997,176,Market,Filled,5172.914735472,Warning: No quote information available at 10/16/2015 12:00:00 America/New_York, order filled using TradeBar data 
2015-10-16T20:00:00Z,NAIL,29.450520999,-176,Market On Open,Filled,-5183.291695824, 
2015-10-19T14:00:00Z,NAIL,29.293294327,176,Market,Filled,5155.619801552,Warning: No quote information available at 10/16/2015 16:00:00 America/New_York, order filled using TradeBar data 
2015-10-19T16:00:00Z,NAIL,29.863241013,80,Market,Filled,2389.05928104,Warning: No quote information available at 10/19/2015 12:00:00 America/New_York, order filled using TradeBar data 
2015-10-19T20:00:00Z,NAIL,31.612387739,-81,Market On Open,Filled,-2560.603406859, 
2015-10-20T14:00:00Z,NAIL,29.421040998,81,Market,Filled,2383.104320838,Warning: No quote information available at 10/19/2015 16:00:00 America/New_York, order filled using TradeBar data 
2015-10-22T14:00:00Z,NAIL,29.519307668,-174,Market,Filled,-5136.359534232,Warning: No quote information available at 10/22/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-10-22T20:00:00Z,NAIL,29.794454344,174,Market On Open,Filled,5184.235055856, 
2015-10-23T14:00:00Z,NAIL,29.833761012,-174,Market,Filled,-5191.074416088,Warning: No quote information available at 10/23/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-10-26T14:00:00Z,NAIL,30.904867715,172,Market,Filled,5315.63724698,Warning: No quote information available at 10/26/2015 10:00:00 America/New_York, order filled using TradeBar data 
