Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2010-04-27T20:00:00Z,DRV,8614.04881,1,Market On Open,Filled,8614.04881, 
2010-04-29T14:00:00Z,DRV,8344.47687,-1,Market,Filled,-8344.47687,Warning: No quote information available at 04/29/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-05-05T14:00:00Z,DRV,8454.7563,1,Market,Filled,8454.7563,Warning: No quote information available at 05/05/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-05-10T16:00:00Z,DRV,8123.91801,-1,Market,Filled,-8123.91801,Warning: No quote information available at 05/10/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-05-14T14:00:00Z,DRV,8172.93109,1,Market,Filled,8172.93109,Warning: No quote information available at 05/14/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-05-26T14:00:00Z,DRV,9336.99174,-1,Market,Filled,-9336.99174,Warning: No quote information available at 05/26/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-06-02T14:00:00Z,DRV,9459.52444,1,Market,Filled,9459.52444,Warning: No quote information available at 06/02/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-06-02T20:00:00Z,DRV,8614.04881,-1,Market On Open,Filled,-8614.04881, 
2010-06-21T20:00:00Z,DRV,7682.80029,1,Market On Open,Filled,7682.80029, 
2010-07-07T20:00:00Z,DRV,8905.676636,-1,Market On Open,Filled,-8905.676636, 
2010-07-15T15:00:00Z,DRV,8474.361532,1,Market,Filled,8474.361532,Warning: No quote information available at 07/15/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-07-15T19:00:00Z,DRV,8207.240246,-1,Market,Filled,-8207.240246,Warning: No quote information available at 07/15/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-07-16T14:00:00Z,DRV,8574.838346,1,Market,Filled,8574.838346,Warning: No quote information available at 07/16/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-07-20T18:00:00Z,DRV,8180.283052,-1,Market,Filled,-8180.283052,Warning: No quote information available at 07/20/2010 14:00:00 America/New_York, order filled using TradeBar data 
2010-07-21T19:00:00Z,DRV,8636.104696,1,Market,Filled,8636.104696,Warning: No quote information available at 07/21/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-07-22T14:00:00Z,DRV,8089.608854,-1,Market,Filled,-8089.608854,Warning: No quote information available at 07/22/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-07-29T16:00:00Z,DRV,7067.686136,1,Market,Filled,7067.686136,Warning: No quote information available at 07/29/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-07-29T18:00:00Z,DRV,6881.436432,-1,Market,Filled,-6881.436432,Warning: No quote information available at 07/29/2010 14:00:00 America/New_York, order filled using TradeBar data 
2010-07-30T14:00:00Z,DRV,7021.12371,1,Market,Filled,7021.12371,Warning: No quote information available at 07/30/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-02T14:00:00Z,DRV,6513.838332,-1,Market,Filled,-6513.838332,Warning: No quote information available at 08/02/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-06T14:00:00Z,DRV,6477.078522,1,Market,Filled,6477.078522,Warning: No quote information available at 08/06/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-09T19:00:00Z,DRV,6239.365084,-1,Market,Filled,-6239.365084,Warning: No quote information available at 08/09/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-08-10T14:00:00Z,DRV,6435.417404,1,Market,Filled,6435.417404,Warning: No quote information available at 08/10/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-17T15:00:00Z,DRV,6878.985778,-1,Market,Filled,-6878.985778,Warning: No quote information available at 08/17/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-08-19T15:00:00Z,DRV,7180.41622,1,Market,Filled,7180.41622,Warning: No quote information available at 08/19/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-08-25T19:00:00Z,DRV,7094.64333,-1,Market,Filled,-7094.64333,Warning: No quote information available at 08/25/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-08-27T14:00:00Z,DRV,7337.258076,1,Market,Filled,7337.258076,Warning: No quote information available at 08/27/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-08-27T16:00:00Z,DRV,6981.913246,-1,Market,Filled,-6981.913246,Warning: No quote information available at 08/27/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-09-09T15:00:00Z,DRV,5986.947722,1,Market,Filled,5986.947722,Warning: No quote information available at 09/09/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-09-13T15:00:00Z,DRV,5744.332976,-1,Market,Filled,-5744.332976,Warning: No quote information available at 09/13/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-09-17T14:00:00Z,DRV,5776.191478,1,Market,Filled,5776.191478,Warning: No quote information available at 09/17/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-09-17T19:00:00Z,DRV,5665.912048,-1,Market,Filled,-5665.912048,Warning: No quote information available at 09/17/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-09-22T15:00:00Z,DRV,5614.448314,1,Market,Filled,5614.448314,Warning: No quote information available at 09/22/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-09-30T14:00:00Z,DRV,5614.448314,-1,Market,Filled,-5614.448314,Warning: No quote information available at 09/30/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-09-30T16:00:00Z,DRV,5871.766984,1,Market,Filled,5871.766984,Warning: No quote information available at 09/30/2010 12:00:00 America/New_York, order filled using TradeBar data 
2010-10-04T18:00:00Z,DRV,5624.25093,-1,Market,Filled,-5624.25093,Warning: No quote information available at 10/04/2010 14:00:00 America/New_York, order filled using TradeBar data 
2010-10-12T14:00:00Z,DRV,5376.734876,1,Market,Filled,5376.734876,Warning: No quote information available at 10/12/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-10-12T19:00:00Z,DRV,5241.948906,-1,Market,Filled,-5241.948906,Warning: No quote information available at 10/12/2010 15:00:00 America/New_York, order filled using TradeBar data 
2010-10-19T18:00:00Z,DRV,5011.58743,1,Market,Filled,5011.58743,Warning: No quote information available at 10/19/2010 14:00:00 America/New_York, order filled using TradeBar data 
2010-10-20T15:00:00Z,DRV,4781.225954,-1,Market,Filled,-4781.225954,Warning: No quote information available at 10/20/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-10-26T14:00:00Z,DRV,4852.29492,1,Market,Filled,4852.29492,Warning: No quote information available at 10/26/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-11-01T15:00:00Z,DRV,4773.873992,-1,Market,Filled,-4773.873992,Warning: No quote information available at 11/01/2010 11:00:00 America/New_York, order filled using TradeBar data 
