Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2017-06-01T14:00:00Z,DUSL,24.984093924,379,Market,Filled,9468.971597196,Warning: No quote information available at 05/31/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-06-07T20:00:00Z,DUSL,25.891553286,-379,Market On Open,Filled,-9812.898695394, 
2017-06-12T14:00:00Z,DUSL,25.77570741,380,Market,Filled,9794.7688158,Warning: No quote information available at 06/12/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-06-20T20:00:00Z,DUSL,26.210129445,-261,Market On Open,Filled,-6840.843785145, 
2017-06-21T14:00:00Z,DUSL,26.210129445,-119,Market,Filled,-3119.005403955,Warning: No quote information available at 06/21/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-06-26T14:00:00Z,DUSL,25.930168578,262,Market,Filled,6793.704167436,Warning: No quote information available at 06/23/2017 16:00:00 America/New_York, order filled using TradeBar data 
2017-06-27T20:00:00Z,DUSL,26.16186033,-262,Market On Open,Filled,-6854.40740646, 
2017-06-28T17:00:00Z,DUSL,26.16186033,382,Market,Filled,9993.83064606,Warning: No quote information available at 06/28/2017 13:00:00 America/New_York, order filled using TradeBar data 
2017-06-29T20:00:00Z,DUSL,25.910860932,-382,Market On Open,Filled,-9897.948876024, 
2017-06-30T15:00:00Z,DUSL,25.910860932,382,Market,Filled,9897.948876024,Warning: No quote information available at 06/30/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-07-07T14:00:00Z,DUSL,26.306667675,-262,Market,Filled,-6892.34693085,Warning: No quote information available at 07/07/2017 10:00:00 America/New_York, order filled using TradeBar data 
2017-07-07T15:00:00Z,DUSL,25.852937994,-120,Market,Filled,-3102.35255928,Warning: No quote information available at 07/07/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-07-10T20:00:00Z,DUSL,27.214127037,371,Market On Open,Filled,10096.441130727, 
