Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2009-02-03T21:00:00Z,MIDU,1.804915210117,3588,Market On Open,Filled,6476.0357738997, 
2009-02-04T15:00:00Z,MIDU,1.8683582809064,1586,Market,Filled,2963.2162335175,Warning: No quote information available at 02/04/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-02-04T19:00:00Z,MIDU,1.7752013668358,-1628,Market,Filled,-2890.0278252087,Warning: No quote information available at 02/04/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-02-05T16:00:00Z,MIDU,1.8502890518841,1560,Market,Filled,2886.4509209392,Warning: No quote information available at 02/05/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-02-10T19:00:00Z,MIDU,1.8366367455117,-3496,Market,Filled,-6420.8820623088,Warning: No quote information available at 02/10/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-02-10T20:00:00Z,MIDU,1.7715875210314,-1610,Market,Filled,-2852.2559088605,Warning: No quote information available at 02/10/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-02-13T15:00:00Z,MIDU,1.8366367455117,3442,Market,Filled,6321.7036780512,Warning: No quote information available at 02/13/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-02-17T15:00:00Z,MIDU,1.5748336938996,-3442,Market,Filled,-5420.5775744024,Warning: No quote information available at 02/17/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-02-24T20:00:00Z,MIDU,1.379284482036,4141,Market,Filled,5711.617040111,Warning: No quote information available at 02/24/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-02-26T15:00:00Z,MIDU,1.3816937125723,1902,Market,Filled,2627.9814413125,Warning: No quote information available at 02/26/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-02-26T21:00:00Z,MIDU,1.225495266135,-1897,Market On Open,Filled,-2324.7645198582, 
2009-02-27T15:00:00Z,MIDU,1.2467768025391,-4146,Market,Filled,-5169.136623327,Warning: No quote information available at 02/27/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-03-04T17:00:00Z,MIDU,1.0861614334519,4715,Market,Filled,5121.2511587258,Warning: No quote information available at 03/04/2009 12:00:00 America/New_York, order filled using TradeBar data 
2009-03-05T16:00:00Z,MIDU,0.9757383672045,-4715,Market,Filled,-4600.6064013692,Warning: No quote information available at 03/05/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-03-10T14:00:00Z,MIDU,1.0058537489083,6896,Market,Filled,6936.3674524719,Warning: No quote information available at 03/10/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-03-30T14:00:00Z,MIDU,1.4258163009233,-6896,Market,Filled,-9832.4292111667,Warning: No quote information available at 03/30/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-01T15:00:00Z,MIDU,1.4954370234916,4407,Market,Filled,6590.3909625276,Warning: No quote information available at 04/01/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-04-02T14:00:00Z,MIDU,1.6841775950787,1777,Market,Filled,2992.7835864548,Warning: No quote information available at 04/02/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-07T14:00:00Z,MIDU,1.6048985063737,-4231,Market,Filled,-6790.325580467,Warning: No quote information available at 04/07/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-09T14:00:00Z,MIDU,1.8427357724887,3665,Market,Filled,6753.6266061712,Warning: No quote information available at 04/09/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-15T18:00:00Z,MIDU,1.7835782799017,-3844,Market,Filled,-6856.0749079423,Warning: No quote information available at 04/15/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-04-16T14:00:00Z,MIDU,1.8837838285695,3625,Market,Filled,6828.7163785644,Warning: No quote information available at 04/16/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-04-20T15:00:00Z,MIDU,1.8242239040601,-5399,Market,Filled,-9848.9848580207,Warning: No quote information available at 04/20/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-04-21T20:00:00Z,MIDU,1.8286506552061,1630,Market On Open,Filled,2980.700567986, 
2009-04-22T15:00:00Z,MIDU,1.9872088326161,3433,Market,Filled,6822.0879223712,Warning: No quote information available at 04/22/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-05-07T19:00:00Z,MIDU,2.2705209059579,-3477,Market,Filled,-7894.6011900158,Warning: No quote information available at 05/07/2009 15:00:00 America/New_York, order filled using TradeBar data 
2009-05-08T14:00:00Z,MIDU,2.4351155622034,3194,Market,Filled,7777.7591056776,Warning: No quote information available at 05/08/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-12T14:00:00Z,MIDU,2.2838011593958,-4780,Market,Filled,-10916.569541912,Warning: No quote information available at 05/12/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-15T15:00:00Z,MIDU,2.118804071228,3524,Market,Filled,7466.6655470076,Warning: No quote information available at 05/15/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-05-15T18:00:00Z,MIDU,2.0089401564236,-3524,Market,Filled,-7079.5051112368,Warning: No quote information available at 05/15/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-05-18T14:00:00Z,MIDU,2.1047189539454,3417,Market,Filled,7191.8246656315,Warning: No quote information available at 05/18/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-18T15:00:00Z,MIDU,2.1413402588802,1544,Market,Filled,3306.2293597111,Warning: No quote information available at 05/18/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-05-21T14:00:00Z,MIDU,2.1260478458305,-3396,Market,Filled,-7220.0584844405,Warning: No quote information available at 05/21/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-05-21T15:00:00Z,MIDU,2.0648781936317,-1565,Market,Filled,-3231.5343730337,Warning: No quote information available at 05/21/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-05-26T15:00:00Z,MIDU,2.2411433756256,4647,Market,Filled,10414.593266532,Warning: No quote information available at 05/26/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-06-03T18:00:00Z,MIDU,2.4182134214642,-3187,Market,Filled,-7706.8461742065,Warning: No quote information available at 06/03/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-06-05T15:00:00Z,MIDU,2.5880396927004,2946,Market,Filled,7624.3649346953,Warning: No quote information available at 06/05/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-06-08T14:00:00Z,MIDU,2.4496031114084,-4406,Market,Filled,-10792.951308865,Warning: No quote information available at 06/08/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-09T17:00:00Z,MIDU,2.5884421246227,4166,Market,Filled,10783.449891178,Warning: No quote information available at 06/09/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-06-12T14:00:00Z,MIDU,2.5176141062873,-2851,Market,Filled,-7177.7178170251,Warning: No quote information available at 06/12/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-12T20:00:00Z,MIDU,2.5679180965824,2749,Market On Open,Filled,7059.2068475049, 
2009-06-15T14:00:00Z,MIDU,2.4399447452717,-4064,Market,Filled,-9915.9354447842,Warning: No quote information available at 06/15/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-19T14:00:00Z,MIDU,2.3803848207624,4203,Market,Filled,10004.757401664,Warning: No quote information available at 06/19/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-22T14:00:00Z,MIDU,2.1807785872715,-4203,Market,Filled,-9165.8124023023,Warning: No quote information available at 06/22/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-06-24T15:00:00Z,MIDU,2.2255151347936,4120,Market,Filled,9169.1223553496,Warning: No quote information available at 06/24/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-06-24T20:00:00Z,MIDU,2.1368812952471,-1299,Market On Open,Filled,-2775.808802526, 
2009-06-25T14:00:00Z,MIDU,2.2118171777728,1253,Market,Filled,2771.4069237493,Warning: No quote information available at 06/25/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-07-02T14:00:00Z,MIDU,2.2311554700375,-4074,Market,Filled,-9089.7273849326,Warning: No quote information available at 07/02/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-07-10T18:00:00Z,MIDU,1.989426816729,3113,Market,Filled,6193.0856804772,Warning: No quote information available at 07/10/2009 14:00:00 America/New_York, order filled using TradeBar data 
2009-07-13T15:00:00Z,MIDU,2.0244774714587,1406,Market,Filled,2846.4153248709,Warning: No quote information available at 07/13/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-11T15:00:00Z,MIDU,3.165033833986,-3119,Market,Filled,-9871.7405282022,Warning: No quote information available at 08/11/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-11T17:00:00Z,MIDU,3.1376379199443,-1400,Market,Filled,-4392.6930879221,Warning: No quote information available at 08/11/2009 13:00:00 America/New_York, order filled using TradeBar data 
2009-08-12T14:00:00Z,MIDU,3.2697829170863,1350,Market,Filled,4414.2069380665,Warning: No quote information available at 08/12/2009 10:00:00 America/New_York, order filled using TradeBar data 
2009-08-12T15:00:00Z,MIDU,3.3072508583491,2888,Market,Filled,9551.3404789123,Warning: No quote information available at 08/12/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-14T15:00:00Z,MIDU,3.1892066993168,-1335,Market,Filled,-4257.5909435879,Warning: No quote information available at 08/14/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-08-17T14:00:00Z,MIDU,2.9962266577589,-2903,Market,Filled,-8698.045987474,Warning: No quote information available at 08/17/2009 10:00:00 America/New_York, order filled using TradeBar data 
